trap_num,time_num,total_objs,predecessorID
104,1,1,1
104,2,1,1
104,3,1,1
104,4,2,1
104,4,2,1
104,5,2,2
104,5,2,1
104,6,2,2
104,6,2,1
104,7,2,2
104,7,2,1
104,8,2,2
104,8,2,1
104,9,2,2
104,9,2,2
104,10,2,2
104,10,2,1
104,11,2,1
104,11,2,2
104,12,3,1
104,12,3,1
104,12,3,1
104,13,3,2
104,13,3,1
104,13,3,1
104,14,3,2
104,14,3,1
104,14,3,1
104,15,2,1
104,15,2,1
104,16,2,1
104,16,2,1
104,17,2,2
104,17,2,1
104,18,2,2
104,18,2,1
104,19,2,2
104,19,2,1
104,20,2,2
104,20,2,2
104,21,3,1
104,21,3,2
104,21,3,2
104,22,3,3
104,22,3,3
104,22,3,1
104,23,2,3
104,23,2,1
104,24,2,1
104,24,2,1
104,25,2,2
104,25,2,1
104,26,2,2
104,26,2,1
104,27,3,1
104,27,3,1
104,27,3,2
104,28,3,3
104,28,3,3
104,28,3,1
104,29,3,3
104,29,3,3
104,29,3,1
104,30,3,2
104,30,3,3
104,30,3,2
104,31,2,2
104,31,2,3
104,32,2,2
104,32,2,1
104,33,2,2
104,33,2,1
104,34,3,2
104,34,3,1
104,34,3,2
104,35,3,2
104,35,3,3
104,35,3,2
104,36,2,3
104,36,2,2
104,37,2,2
104,37,2,2
104,38,2,2
104,38,2,1
104,39,2,2
104,39,2,1
104,40,2,1
104,40,2,1
104,41,3,1
104,41,3,1
104,41,3,1
104,42,3,3
104,42,3,3
104,42,3,1
104,43,3,3
104,43,3,3
104,43,3,1
104,44,3,3
104,44,3,3
104,44,3,2
104,45,2,3
104,45,2,2
104,46,2,2
104,46,2,2
104,47,2,1
104,47,2,1
104,48,3,1
104,48,3,1
104,48,3,1
104,49,3,3
104,49,3,3
104,49,3,2
104,50,3,3
104,50,3,3
104,50,3,1
104,51,3,3
104,51,3,3
104,51,3,2
104,52,3,2
104,52,3,3
104,52,3,2
104,53,3,2
104,53,3,3
104,53,3,2
104,54,3,2
104,54,3,3
104,54,3,3
104,55,3,3
104,55,3,1
104,55,3,3
104,56,2,3
104,56,2,2
104,57,2,2
104,57,2,1
104,58,2,2
104,58,2,1
104,59,2,2
104,59,2,1
104,60,2,2
104,60,2,1
104,61,2,2
104,61,2,1
104,62,2,1
104,62,2,2
104,63,3,2
104,63,3,2
104,63,3,2
104,64,3,2
104,64,3,1
104,64,3,1
104,65,3,2
104,65,3,1
104,65,3,1
104,66,3,2
104,66,3,1
104,66,3,1
104,67,2,3
104,67,2,1
104,68,2,2
104,68,2,1
104,69,2,1
104,69,2,2
104,70,3,1
104,70,3,1
104,70,3,1
104,71,2,1
104,71,2,3
104,72,2,2
104,72,2,1
104,73,2,2
104,73,2,1
104,74,2,2
104,74,2,1
104,75,2,2
104,75,2,1
104,76,2,1
104,76,2,1
104,77,1,2
104,78,2,1
104,78,2,1
104,79,3,2
104,79,3,2
104,79,3,1
104,80,2,3
104,80,2,2
104,81,2,2
104,81,2,1
104,82,2,1
104,82,2,2
104,83,2,2
104,83,2,1
104,84,2,2
104,84,2,2
104,85,3,1
104,85,3,1
104,85,3,1
104,86,3,2
104,86,3,1
104,86,3,1
104,87,3,1
104,87,3,1
104,87,3,1
104,88,4,2
104,88,4,3
104,88,4,3
104,88,4,2
104,89,4,3
104,89,4,3
104,89,4,4
104,89,4,4
104,90,2,3
104,90,2,2
104,91,2,2
104,91,2,2
104,92,2,1
104,92,2,1
104,93,2,2
104,93,2,1
104,94,2,2
104,94,2,2
104,95,2,2
104,95,2,1
104,96,3,1
104,96,3,1
104,96,3,1
104,97,3,3
104,97,3,3
104,97,3,2
104,98,4,1
104,98,4,3
104,98,4,3
104,98,4,1
104,99,4,3
104,99,4,1
104,99,4,1
104,99,4,3
104,100,4,2
104,100,4,1
104,100,4,1
104,100,4,2
104,101,4,2
104,101,4,1
104,101,4,1
104,101,4,1
104,102,2,1
104,102,2,1
104,103,3,2
104,103,3,2
