,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,is_mother_cell,is_daughter_cell,last_mother_cost
43275,50,1,2,1,cell,96%,28,30,10,8,63,4.472135955,30.06659276,A,True,False,0.0
43276,50,1,2,2,cell,96%,30,39,6,7,33,-5.0,39.0,B,False,True,13.98144921919765
43277,50,2,2,1,cell,97%,29,29,9,9,64,5.099019514,29.01723626,A,True,False,1.5729437211032533
43278,50,2,2,2,cell,97%,31,40,8,8,51,-6.08276253,40.01249805,B,False,True,12.345068413672456
43279,50,3,2,1,cell,95%,28,29,9,8,57,5.385164807,29.06888371,A,True,False,2.09375
43280,50,3,2,2,cell,96%,29,40,8,8,51,-6.08276253,40.01249805,B,False,True,13.03125
43281,50,4,2,1,cell,96%,29,28,10,9,71,6.08276253,28.01785145,A,True,False,3.8703539132502893
43282,50,4,2,2,cell,97%,29,39,9,9,64,-5.099019514,39.01281841,B,False,True,11.277945796559486
43283,50,5,2,1,cell,96%,29,28,11,9,78,6.08276253,28.01785145,A,True,False,0.9859154929577474
43284,50,5,2,2,cell,96%,30,40,10,10,79,-6.0,40.0,B,False,True,13.168355142172576
43285,50,6,2,1,cell,97%,30,29,10,9,71,5.0,29.0,A,True,False,2.3116494598089927
43286,50,6,2,2,cell,96%,30,41,9,9,64,-7.0,41.0,B,False,True,14.833276605277094
43287,50,7,1,1,cell,96%,29,29,10,8,63,5.099019514,29.01723626,A,True,False,2.126760563380281
43288,50,8,2,1,cell,97%,30,29,9,8,57,5.0,29.0,A,True,False,1.9523809523809523
43289,50,8,2,2,cell,95%,31,38,7,7,39,-4.123105626,38.01315562,B,False,True,13.029068266816697
43290,50,9,2,1,cell,96%,29,28,10,9,71,6.08276253,28.01785145,A,True,False,3.8703539132502893
43291,50,9,2,2,cell,96%,29,39,8,8,51,-5.099019514,39.01281841,B,False,True,11.102507200068258
43292,50,10,2,1,cell,95%,27,29,9,8,57,5.830951895,29.15475947,A,True,False,4.207898963415282
