,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,is_mother_cell,is_daughter_cell,last_mother_cost
42412,49,1,2,1,cell,94%,29,32,8,8,51,2.236067977,32.01562119,A,True,False,0.0
42413,49,1,2,2,cell,95%,30,23,7,8,44,11.0,23.0,A,False,True,10.42793415774526
42414,49,2,2,1,cell,95%,30,32,8,8,51,2.0,32.0,A,True,False,1.0
42415,49,2,2,2,cell,94%,32,23,7,9,50,11.18033989,23.08679276,A,False,True,9.682911411877688
42416,49,3,2,1,cell,94%,29,31,8,9,57,3.16227766,31.01612484,A,True,False,2.5906841506083893
42417,49,3,2,2,cell,95%,31,22,8,9,57,12.04159458,22.02271555,A,False,True,11.226346209356183
42418,49,4,2,1,cell,96%,28,31,9,9,64,3.605551275,31.06444913,A,True,False,2.228070175438596
42419,49,4,2,2,cell,95%,31,21,8,9,57,13.03840481,21.02379604,A,False,True,10.19803902718557
42420,49,5,2,1,cell,95%,29,31,8,9,57,3.16227766,31.01612484,A,True,False,2.09375
42421,49,5,2,2,cell,95%,31,21,7,8,44,13.03840481,21.02379604,A,False,True,13.56530650891055
42422,49,6,2,1,cell,96%,29,31,8,8,51,3.16227766,31.01612484,A,True,False,1.0526315789473684
42423,49,6,2,2,cell,94%,31,22,8,8,51,12.04159458,22.02271555,A,False,True,10.272176036240257
42424,49,7,2,1,cell,96%,28,22,8,8,51,12.16552506,22.09072203,A,False,True,9.055385138137417
42425,49,7,2,2,cell,96%,29,31,8,9,57,3.16227766,31.01612484,A,True,False,1.1764705882352944
42426,49,8,3,1,cell,96%,27,20,9,10,71,14.31782106,20.22374842,A,False,True,13.63648023837614
42427,49,8,3,2,cell,97%,29,30,9,9,64,4.123105626,30.01666204,A,True,False,2.228070175438596
42429,49,9,3,1,cell,95%,26,19,8,10,63,15.5241747,19.41648784,A,False,True,11.55800425099138
42430,49,9,3,2,cell,95%,30,31,10,11,87,3.0,31.0,A,True,False,5.007963562373095
42433,49,10,3,2,cell,96%,30,31,10,10,79,3.0,31.0,A,True,False,0.9195402298850575
42434,49,10,3,3,cell,95%,31,21,7,8,44,13.03840481,21.02379604,A,False,True,14.992404356753074
42436,49,11,3,2,cell,96%,29,30,9,9,64,4.123105626,30.01666204,A,True,False,3.312947739588285
42437,49,11,3,3,cell,96%,32,21,8,8,51,13.15294644,21.09502311,A,False,True,13.742342824653925
42439,49,12,3,2,cell,97%,30,30,9,9,64,4.0,30.0,A,True,False,1.0
42440,49,12,3,3,cell,96%,32,20,9,8,57,14.14213562,20.09975124,A,False,True,11.53405650891055
42442,49,13,3,2,cell,96%,30,32,8,9,57,2.0,32.0,A,True,False,3.09375
42443,49,13,3,3,cell,94%,32,18,8,8,51,16.1245155,18.11077028,A,False,True,14.196775060596437
42446,49,14,4,3,cell,97%,29,32,8,9,57,2.236067977,32.01562119,A,True,False,1.0
42447,49,14,4,4,cell,95%,32,17,8,9,57,17.11724277,17.11724277,A,False,True,15.132745950421555
42449,49,15,3,2,cell,96%,29,32,9,9,64,2.236067977,32.01562119,A,True,False,1.2280701754385959
42451,49,16,2,1,cell,95%,28,31,9,10,71,3.605551275,31.06444913,A,True,False,2.507963562373095
