,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,is_mother_cell,is_daughter_cell,last_mother_cost
12571,14,1,1,1,cell,96%,28,31,9,8,57,3.605551275,31.06444913,A,True,False,0.0
12572,14,2,1,1,cell,96%,28,30,9,8,57,4.472135955,30.06659276,A,True,False,1.0
12573,14,3,1,1,cell,96%,29,30,9,7,50,4.123105626,30.01666204,A,True,False,2.2280701754385968
12574,14,4,1,1,cell,97%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,1.399999999999999
12575,14,5,1,1,cell,96%,29,30,8,8,51,4.123105626,30.01666204,A,True,False,1.0526315789473684
12576,14,6,2,1,cell,96%,30,28,8,7,44,6.0,28.0,A,True,False,3.6086169971076325
12577,14,6,2,2,cell,93%,30,36,6,6,29,-2.0,36.0,B,False,True,10.396488020494298
12578,14,7,2,1,cell,96%,29,28,8,7,44,6.08276253,28.01785145,A,True,False,1.0
12579,14,7,2,2,cell,95%,29,38,7,7,39,-4.123105626,38.01315562,B,False,True,11.186239257484527
12580,14,8,2,1,cell,97%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,3.954545454545454
12581,14,8,2,2,cell,95%,28,38,7,7,39,-4.472135955,38.05259518,B,False,True,11.186239257484527
12582,14,9,2,1,cell,97%,30,29,9,7,50,5.0,29.0,A,True,False,2.2280701754385968
12583,14,9,2,2,cell,96%,29,38,7,7,39,-4.123105626,38.01315562,B,False,True,12.157894736842106
12585,14,10,3,2,cell,97%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,5.199999999999999
12586,14,10,3,3,cell,96%,29,40,8,9,57,-6.08276253,40.01249805,B,False,True,12.44536101718726
12588,14,11,3,2,cell,97%,30,30,10,8,63,4.0,30.0,A,True,False,2.5409741257533764
12589,14,11,3,3,cell,95%,30,39,8,7,44,-5.0,39.0,B,False,True,13.852692522529342
12590,14,12,3,1,cell,97%,30,29,9,9,64,5.0,29.0,A,True,False,1.1587301587301582
12591,14,12,3,2,cell,96%,30,40,9,7,50,-6.0,40.0,B,False,True,12.063492063492063
12593,14,13,2,1,cell,95%,30,30,8,7,44,4.0,30.0,A,True,False,4.125
12594,14,13,2,2,cell,95%,32,21,8,8,51,13.15294644,21.09502311,A,False,True,10.277461251235321
12595,14,14,3,1,cell,96%,30,30,8,7,44,4.0,30.0,A,True,False,0.0
12597,14,14,3,3,cell,95%,31,20,8,9,57,14.03566885,20.02498439,A,False,True,13.004421075666343
12599,14,15,3,2,cell,96%,30,30,8,8,51,4.0,30.0,A,True,False,1.5909090909090917
12600,14,15,3,3,cell,94%,32,20,9,10,71,14.14213562,20.09975124,A,False,True,16.334402663549206
12601,14,16,3,1,cell,97%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,2.1764705882352944
12603,14,16,3,3,cell,95%,31,20,9,10,71,14.03566885,20.02498439,A,False,True,13.97144424857187
12605,14,17,3,2,cell,97%,30,30,8,8,51,4.0,30.0,A,True,False,2.052631578947368
12606,14,17,3,3,cell,94%,32,19,8,9,57,15.13274595,19.10497317,A,False,True,11.40175425099138
12608,14,18,4,2,cell,97%,30,30,10,8,63,4.0,30.0,A,True,False,2.3529411764705888
12610,14,18,4,4,cell,95%,32,17,9,9,64,17.11724277,17.11724277,A,False,True,15.70196604580904
12611,14,19,1,1,cell,97%,28,30,9,8,57,4.472135955,30.06659276,A,True,False,2.9523809523809526
12612,14,20,1,1,cell,96%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,1.0
12613,14,21,2,1,cell,96%,30,29,8,7,44,5.0,29.0,A,True,False,3.6949153167590607
12614,14,21,2,2,cell,74%,30,37,4,6,19,-3.0,37.0,B,False,True,13.737734478532143
12615,14,22,2,1,cell,97%,29,29,9,7,50,5.099019514,29.01723626,A,True,False,2.3636363636363646
12616,14,22,2,2,cell,93%,29,38,7,7,39,-4.123105626,38.01315562,B,False,True,10.191748774501054
12617,14,23,2,1,cell,96%,29,40,8,8,51,-6.08276253,40.01249805,B,False,True,11.2
12618,14,23,2,2,cell,97%,30,29,9,7,50,5.0,29.0,A,True,False,1.0
12619,14,24,3,1,cell,96%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,2.8142135623730944
12620,14,24,3,2,cell,95%,29,40,8,8,51,-6.08276253,40.01249805,B,False,True,11.24536101718726
12622,14,25,3,1,cell,96%,29,39,8,8,51,-5.099019514,39.01281841,B,False,True,10.052631578947368
12623,14,25,3,2,cell,96%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,1.0
12625,14,26,3,1,cell,95%,28,39,9,9,64,-5.385164807,39.05124838,B,False,True,11.277945796559486
12626,14,26,3,2,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,2.456140350877194
12628,14,27,1,1,cell,96%,30,29,10,8,63,5.0,29.0,A,True,False,2.126760563380281
12629,14,28,1,1,cell,96%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,1.9523809523809523
12630,14,29,2,1,cell,95%,29,28,9,6,43,6.08276253,28.01785145,A,True,False,3.4561403508771926
12631,14,29,2,2,cell,92%,29,36,5,6,24,-2.236067977,36.01388621,B,False,True,12.789473684210527
12632,14,30,2,1,cell,95%,28,28,9,7,50,6.32455532,28.0713377,A,True,False,2.6279069767441867
12633,14,30,2,2,cell,93%,28,37,7,7,39,-3.605551275,37.05401463,B,False,True,9.985617696276952
12634,14,31,2,1,cell,96%,29,29,9,7,50,5.099019514,29.01723626,A,True,False,1.4142135623730951
12635,14,31,2,2,cell,96%,29,39,8,8,51,-5.099019514,39.01281841,B,False,True,11.24536101718726
12636,14,32,2,1,cell,96%,29,40,9,8,57,-6.08276253,40.01249805,B,False,True,12.399999999999999
12637,14,32,2,2,cell,97%,29,29,9,7,50,5.099019514,29.01723626,A,True,False,0.0
12638,14,33,2,1,cell,96%,29,39,9,8,57,-5.099019514,39.01281841,B,False,True,11.399999999999999
12639,14,33,2,2,cell,97%,29,28,9,7,50,6.08276253,28.01785145,A,True,False,1.0
12640,14,34,2,1,cell,96%,29,39,9,9,64,-5.099019514,39.01281841,B,False,True,13.8
12641,14,34,2,2,cell,97%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,2.399999999999999
12642,14,35,2,1,cell,96%,29,40,9,8,57,-6.08276253,40.01249805,B,False,True,11.0
12643,14,35,2,2,cell,97%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,0.0
12644,14,36,1,1,cell,95%,28,29,9,8,57,5.385164807,29.06888371,A,True,False,1.0
12645,14,37,2,1,cell,95%,28,28,9,7,50,6.32455532,28.0713377,A,True,False,2.2280701754385968
12646,14,37,2,2,cell,93%,29,37,6,7,33,-3.16227766,37.01351105,B,False,True,12.272784064088022
12647,14,38,3,1,cell,97%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,2.8142135623730944
12648,14,38,3,2,cell,95%,29,38,8,7,44,-4.123105626,38.01315562,B,False,True,11.24987562112089
12650,14,39,2,1,cell,96%,29,39,8,8,51,-5.099019514,39.01281841,B,False,True,11.052631578947368
12651,14,39,2,2,cell,97%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,0.0
12652,14,40,2,1,cell,97%,29,30,10,8,63,4.123105626,30.01666204,A,True,False,2.0526315789473695
12653,14,40,2,2,cell,96%,28,40,9,8,57,-6.32455532,40.04996879,B,False,True,11.045361017187261
12654,14,41,2,1,cell,96%,29,40,10,10,79,-6.08276253,40.01249805,B,False,True,12.53968253968254
12655,14,41,2,2,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,2.2698412698412698
12656,14,42,2,1,cell,96%,29,40,9,9,64,-6.08276253,40.01249805,B,False,True,11.985915492957746
12657,14,42,2,2,cell,97%,30,29,10,8,63,5.0,29.0,A,True,False,2.126760563380281
12658,14,43,1,1,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,2.2698412698412698
12659,14,44,1,1,cell,96%,30,28,8,7,44,6.0,28.0,A,True,False,5.217030463781546
12660,14,45,2,1,cell,96%,29,28,9,7,50,6.08276253,28.01785145,A,True,False,2.3636363636363646
12661,14,45,2,2,cell,92%,29,37,7,7,39,-3.16227766,37.01351105,B,False,True,10.191748774501054
12662,14,46,2,1,cell,96%,28,28,10,7,55,6.32455532,28.0713377,A,True,False,2.000000000000001
12663,14,46,2,2,cell,95%,29,39,8,8,51,-5.099019514,39.01281841,B,False,True,11.2
12664,14,47,2,1,cell,96%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,1.777849926009459
12665,14,47,2,2,cell,96%,28,39,7,8,44,-5.385164807,39.05124838,B,False,True,13.0
12666,14,48,2,1,cell,96%,28,29,9,8,57,5.385164807,29.06888371,A,True,False,1.0
12667,14,48,2,2,cell,95%,29,39,8,9,57,-5.099019514,39.01281841,B,False,True,10.0
12668,14,49,2,1,cell,95%,28,28,11,9,78,6.32455532,28.0713377,A,True,False,4.684210526315789
12669,14,49,2,2,cell,96%,29,40,10,10,79,-6.08276253,40.01249805,B,False,True,14.90501013999428
12670,14,50,2,1,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,2.3116494598089927
12671,14,50,2,2,cell,95%,28,40,9,9,64,-6.32455532,40.04996879,B,False,True,13.794871794871796
12672,14,51,1,1,cell,96%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,1.9718309859154926
12673,14,52,2,1,cell,96%,29,28,9,7,50,6.08276253,28.01785145,A,True,False,2.2280701754385968
12674,14,52,2,2,cell,92%,29,37,5,7,28,-3.16227766,37.01351105,B,False,True,13.087719298245615
12675,14,53,2,1,cell,97%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,2.399999999999999
12676,14,53,2,2,cell,95%,29,37,7,7,39,-3.16227766,37.01351105,B,False,True,11.2
12677,14,54,2,1,cell,96%,30,28,10,7,55,6.0,28.0,A,True,False,1.7650907553555513
12678,14,54,2,2,cell,96%,29,39,8,8,51,-5.099019514,39.01281841,B,False,True,11.052631578947368
12679,14,55,2,1,cell,95%,29,28,10,8,63,6.08276253,28.01785145,A,True,False,2.454545454545455
12680,14,55,2,2,cell,96%,29,38,8,8,51,-4.123105626,38.01315562,B,False,True,10.777148348393617
12681,14,56,2,1,cell,96%,29,28,10,9,71,6.08276253,28.01785145,A,True,False,1.2698412698412698
12682,14,56,2,2,cell,96%,29,40,10,10,79,-6.08276253,40.01249805,B,False,True,14.53968253968254
12683,14,57,2,1,cell,97%,29,29,11,10,87,5.099019514,29.01723626,A,True,False,3.2535211267605626
12684,14,57,2,2,cell,96%,29,40,9,9,64,-6.08276253,40.01249805,B,False,True,12.985915492957746
12685,14,58,1,1,cell,96%,29,28,11,9,78,6.08276253,28.01785145,A,True,False,2.0344827586206895
12686,14,59,2,1,cell,96%,28,28,9,7,50,6.32455532,28.0713377,A,True,False,4.589743589743589
12687,14,59,2,2,cell,92%,29,37,5,6,24,-3.16227766,37.01351105,B,False,True,15.923076923076923
12688,14,60,2,1,cell,96%,28,28,9,8,57,6.32455532,28.0713377,A,True,False,1.399999999999999
12689,14,60,2,2,cell,94%,29,37,7,8,44,-3.16227766,37.01351105,B,False,True,10.255385138137417
12690,14,61,2,1,cell,96%,30,28,10,8,63,6.0,28.0,A,True,False,3.0526315789473695
12691,14,61,2,2,cell,96%,29,39,8,8,51,-5.099019514,39.01281841,B,False,True,12.09799259613463
12692,14,62,2,1,cell,96%,28,28,9,8,57,6.32455532,28.0713377,A,True,False,2.9523809523809526
12693,14,62,2,2,cell,95%,29,38,8,9,57,-4.123105626,38.01315562,B,False,True,11.002256573501842
12694,14,63,2,1,cell,96%,29,28,10,9,71,6.08276253,28.01785145,A,True,False,3.456140350877194
12695,14,63,2,2,cell,96%,29,39,9,9,64,-5.099019514,39.01281841,B,False,True,12.273431192625857
12696,14,64,2,1,cell,96%,29,27,10,9,71,7.071067812,27.01851217,A,True,False,1.0
12697,14,64,2,2,cell,95%,28,39,9,9,64,-5.385164807,39.05124838,B,False,True,12.031276510145007
12698,14,65,2,1,cell,96%,29,28,10,8,63,6.08276253,28.01785145,A,True,False,2.126760563380281
12699,14,65,2,2,cell,94%,28,39,8,9,57,-5.385164807,39.05124838,B,False,True,14.013425564707786
12700,14,66,2,1,cell,97%,29,27,9,8,57,7.071067812,27.01851217,A,True,False,1.9523809523809523
