,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,is_mother_cell,is_daughter_cell,last_mother_cost
44210,51,1,2,1,cell,95%,29,42,9,8,57,-8.062257748,42.01190308,B,False,True,13.09375
44211,51,1,2,2,cell,97%,29,30,9,9,64,4.123105626,30.01666204,A,True,False,0.0
44212,51,2,2,1,cell,96%,29,31,10,10,79,3.16227766,31.01612484,A,True,False,3.34375
44213,51,2,2,2,cell,96%,29,41,9,8,57,-7.071067812,41.01219331,B,False,True,12.09375
44214,51,3,2,1,cell,96%,29,42,9,8,57,-8.062257748,42.01190308,B,False,True,13.784810126582279
44215,51,3,2,2,cell,96%,30,32,10,10,79,2.0,32.0,A,True,False,1.4142135623730951
44216,51,4,2,1,cell,96%,30,31,10,10,79,3.0,31.0,A,True,False,1.0
44217,51,4,2,2,cell,96%,29,42,9,8,57,-8.062257748,42.01190308,B,False,True,12.834685747703169
44218,51,5,1,1,cell,95%,30,31,9,8,57,3.0,31.0,A,True,False,2.784810126582279
44219,51,6,2,1,cell,96%,28,31,9,8,57,3.605551275,31.06444913,A,True,False,2.0
44220,51,6,2,2,cell,95%,29,39,6,7,33,-5.099019514,39.01281841,B,False,True,12.272784064088022
44221,51,7,2,1,cell,96%,29,30,10,9,71,4.123105626,30.01666204,A,True,False,3.8703539132502893
44222,51,7,2,2,cell,94%,28,40,7,7,39,-6.32455532,40.04996879,B,False,True,12.157894736842106
44223,51,8,2,1,cell,96%,29,30,10,9,71,4.123105626,30.01666204,A,True,False,0.0
44224,51,8,2,2,cell,96%,29,40,9,8,57,-6.08276253,40.01249805,B,False,True,11.971830985915492
44225,51,9,2,1,cell,96%,30,30,10,9,71,4.0,30.0,A,True,False,1.0
44226,51,9,2,2,cell,96%,29,41,9,8,57,-7.071067812,41.01219331,B,False,True,12.971830985915492
44227,51,10,2,1,cell,96%,29,40,10,9,71,-6.08276253,40.01249805,B,False,True,10.04987562112089
44228,51,10,2,2,cell,97%,30,29,10,9,71,5.0,29.0,A,True,False,1.0
44229,51,11,2,1,cell,96%,30,42,10,9,71,-8.0,42.0,B,False,True,13.0
44230,51,11,2,2,cell,97%,30,30,10,9,71,4.0,30.0,A,True,False,1.0
44231,51,12,1,1,cell,96%,30,31,10,8,63,3.0,31.0,A,True,False,2.126760563380281
44232,51,13,3,1,cell,96%,29,30,10,8,63,4.123105626,30.01666204,A,True,False,1.4142135623730951
44233,51,13,3,2,cell,95%,29,39,7,6,33,-5.099019514,39.01281841,B,False,True,12.824162510203312
44236,51,14,3,2,cell,96%,29,31,9,9,64,3.16227766,31.01612484,A,True,False,1.1587301587301582
44237,51,14,3,3,cell,94%,29,41,7,6,33,-7.071067812,41.01219331,B,False,True,15.761904761904763
44239,51,15,3,2,cell,96%,27,30,9,9,64,5.0,30.14962686,A,True,False,2.23606797749979
44240,51,15,3,3,cell,95%,28,40,8,7,44,-6.32455532,40.04996879,B,False,True,12.180385138137417
44242,51,16,4,2,cell,95%,29,42,8,8,51,-8.062257748,42.01190308,B,False,True,14.196775060596437
44243,51,16,4,3,cell,97%,29,31,9,9,64,3.16227766,31.01612484,A,True,False,2.23606797749979
44246,51,17,4,2,cell,96%,28,41,9,8,57,-7.280109889,41.0487515,B,False,True,11.14362562112089
44247,51,17,4,3,cell,96%,28,29,9,9,64,5.385164807,29.06888371,A,True,False,2.23606797749979
44250,51,18,4,2,cell,96%,28,31,9,9,64,3.605551275,31.06444913,A,True,False,2.0
44251,51,18,4,3,cell,95%,29,42,10,10,79,-8.062257748,42.01190308,B,False,True,15.382154810405298
44253,51,19,2,1,cell,96%,27,23,8,9,57,11.40175425,23.19482701,A,False,True,9.15600774829855
44254,51,19,2,2,cell,96%,28,31,9,7,50,3.605551275,31.06444913,A,True,False,2.1875
44255,51,20,3,1,cell,95%,28,22,8,8,51,12.16552506,22.09072203,A,False,True,9.2
44256,51,20,3,2,cell,96%,29,31,9,8,57,3.16227766,31.01612484,A,True,False,2.399999999999999
44258,51,21,4,1,cell,94%,26,23,7,8,44,11.70469991,23.34523506,A,False,True,10.824705499703496
44259,51,21,4,2,cell,95%,30,32,10,8,63,2.0,32.0,A,True,False,2.466845141320465
44262,51,22,4,1,cell,96%,26,19,9,9,64,15.5241747,19.41648784,A,False,True,13.760200667465602
