,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,is_mother_cell,is_daughter_cell,last_mother_cost
59668,71,1,2,1,cell,95%,27,24,6,7,33,10.44030651,24.18677324,A,False,True,12.748956221998771
59669,71,1,2,2,cell,96%,29,33,8,8,51,1.414213562,33.01514804,A,True,False,0.0
59670,71,2,2,1,cell,96%,28,24,7,8,44,10.19803903,24.08318916,A,False,True,10.42793415774526
59671,71,2,2,2,cell,96%,29,32,8,8,51,2.236067977,32.01562119,A,True,False,1.0
59672,71,3,2,1,cell,95%,27,23,7,7,39,11.40175425,23.19482701,A,False,True,11.572485633763478
59673,71,3,2,2,cell,95%,29,33,8,8,51,1.414213562,33.01514804,A,True,False,1.0
59674,71,4,3,1,cell,96%,28,24,8,8,51,10.19803903,24.08318916,A,False,True,9.055385138137417
59675,71,4,3,2,cell,95%,29,32,8,9,57,2.236067977,32.01562119,A,True,False,2.1764705882352944
59677,71,5,3,1,cell,96%,28,24,8,8,51,10.19803903,24.08318916,A,False,True,9.114889327245917
59678,71,5,3,2,cell,96%,29,33,8,8,51,1.414213562,33.01514804,A,True,False,2.052631578947368
59680,71,6,3,1,cell,96%,26,25,6,8,38,9.848857802,25.3179778,A,False,True,11.093023353160667
59681,71,6,3,2,cell,94%,28,34,8,8,51,-2.0,34.05877273,B,True,False,1.4142135623730951
59683,71,7,3,1,cell,91%,29,31,8,9,57,3.16227766,31.01612484,A,True,False,4.3387482484036735
59685,71,7,3,3,cell,93%,31,24,6,8,38,10.04987562,24.0208243,A,False,True,12.989326116753688
59686,71,8,3,1,cell,94%,29,30,9,9,64,4.123105626,30.01666204,A,True,False,2.228070175438596
59688,71,8,3,3,cell,92%,32,21,6,8,38,13.15294644,21.09502311,A,False,True,13.773639842243885
59691,71,9,4,3,cell,96%,29,31,8,8,51,3.16227766,31.01612484,A,True,False,3.03125
59692,71,9,4,4,cell,93%,32,21,7,9,50,13.15294644,21.09502311,A,False,True,11.674332980505138
59694,71,10,4,2,cell,96%,29,32,9,9,64,2.236067977,32.01562119,A,True,False,3.549019607843137
59696,71,10,4,4,cell,95%,31,21,7,9,50,13.03840481,21.02379604,A,False,True,10.39411745855812
59698,71,11,4,2,cell,95%,29,30,8,7,44,4.123105626,30.01666204,A,True,False,5.125
59700,71,11,4,4,cell,96%,31,19,7,9,50,15.03329638,19.02629759,A,False,True,15.340446437965904
59701,71,12,4,1,cell,97%,27,24,7,7,39,10.44030651,24.18677324,A,False,True,7.460918956700396
59702,71,12,4,2,cell,96%,30,33,8,8,51,1.0,33.0,A,True,False,4.753186751077472
59705,71,13,4,1,cell,95%,28,24,7,7,39,10.19803903,24.08318916,A,False,True,11.572485633763478
59706,71,13,4,2,cell,96%,31,33,8,8,51,1.414213562,33.01514804,A,True,False,1.0
59709,71,14,4,1,cell,96%,27,24,6,7,33,10.44030651,24.18677324,A,False,True,13.378269566501986
59710,71,14,4,2,cell,97%,30,32,9,8,57,2.0,32.0,A,True,False,2.5906841506083893
59713,71,15,4,1,cell,95%,26,24,6,7,33,10.77032961,24.33105012,A,False,True,13.154798225788632
59715,71,15,4,3,cell,96%,29,33,8,8,51,1.414213562,33.01514804,A,True,False,2.4668451413204635
59717,71,16,4,1,cell,95%,26,22,7,8,44,12.64911064,22.36067977,A,False,True,12.774303270599223
59718,71,16,4,2,cell,96%,29,32,9,8,57,2.236067977,32.01562119,A,True,False,2.1764705882352944
59721,71,17,4,1,cell,95%,27,19,7,9,50,15.29705854,19.23538406,A,False,True,14.381016613404501
59723,71,17,4,3,cell,96%,30,32,9,8,57,2.0,32.0,A,True,False,1.0
59725,71,18,3,1,cell,94%,26,19,7,9,50,15.5241747,19.41648784,A,False,True,14.829540684174042
59726,71,18,3,2,cell,95%,29,32,8,9,57,2.236067977,32.01562119,A,True,False,1.0
59728,71,19,4,1,cell,95%,26,20,7,8,44,14.56021978,20.39607805,A,False,True,14.650018631238947
59729,71,19,4,2,cell,95%,29,33,7,8,44,1.414213562,33.01514804,A,True,False,3.2807017543859653
59732,71,20,4,1,cell,96%,24,19,9,8,57,16.15549442,19.92485885,A,False,True,17.82061420186396
59733,71,20,4,2,cell,96%,29,33,8,8,51,1.414213562,33.01514804,A,True,False,1.5909090909090917
59736,71,21,4,1,cell,95%,24,18,9,8,57,17.08800749,18.97366596,A,False,True,16.98785888907719
59738,71,21,4,3,cell,96%,28,33,8,8,51,2.236067977,33.06055051,A,True,False,1.0
59740,71,22,5,1,cell,95%,25,17,10,9,71,17.72004515,17.72004515,A,False,True,20.200389223550687
59741,71,22,5,2,cell,97%,29,32,9,9,64,2.236067977,32.01562119,A,True,False,3.963233170216232
59745,71,23,4,1,cell,96%,25,18,9,9,64,16.76305461,18.68154169,A,False,True,14.560219778561038
59747,71,23,4,3,cell,96%,28,31,8,9,57,3.605551275,31.06444913,A,True,False,2.507963562373095
59749,71,24,4,1,cell,96%,25,18,9,8,57,16.76305461,18.68154169,A,False,True,13.341664064126334
59751,71,24,4,3,cell,97%,28,32,9,9,64,2.828427125,32.06243908,A,True,False,2.228070175438596
59753,71,25,4,1,cell,95%,25,19,10,9,71,15.8113883,19.6468827,A,False,True,14.435414064126334
59755,71,25,4,3,cell,97%,28,33,8,9,57,2.236067977,33.06055051,A,True,False,2.09375
59757,71,26,3,1,cell,96%,29,23,9,8,57,11.04536102,23.02172887,A,False,True,10.04987562112089
59759,71,26,3,3,cell,96%,29,32,9,9,64,2.236067977,32.01562119,A,True,False,2.642283737811691
59760,71,27,3,1,cell,96%,28,22,8,9,57,12.16552506,22.09072203,A,False,True,11.14362562112089
59761,71,27,3,2,cell,96%,29,32,9,8,57,2.236067977,32.01562119,A,True,False,1.09375
59763,71,28,3,1,cell,94%,29,23,9,9,64,11.04536102,23.02172887,A,False,True,10.228070175438596
59764,71,28,3,2,cell,96%,29,32,9,8,57,2.236067977,32.01562119,A,True,False,0.0
59766,71,29,3,1,cell,96%,29,30,8,9,57,4.123105626,30.01666204,A,True,False,2.0
59768,71,29,3,3,cell,96%,30,21,9,9,64,13.0,21.0,A,False,True,12.273431192625857
59769,71,30,3,1,cell,95%,29,31,9,9,64,3.16227766,31.01612484,A,True,False,2.228070175438596
59771,71,30,3,3,cell,95%,30,22,8,9,57,12.0,22.0,A,False,True,8.06225774829855
59773,71,31,3,2,cell,96%,30,32,8,9,57,2.0,32.0,A,True,False,2.507963562373095
59774,71,31,3,3,cell,96%,32,20,9,10,71,14.14213562,20.09975124,A,False,True,12.49550425099138
59777,71,32,4,3,cell,96%,29,32,8,9,57,2.236067977,32.01562119,A,True,False,1.0
59778,71,32,4,4,cell,96%,33,17,10,9,71,17.2626765,17.2626765,A,False,True,17.75319889165555
59779,71,33,4,1,cell,96%,26,23,8,7,44,11.70469991,23.34523506,A,False,True,11.767534734891104
59781,71,33,4,3,cell,96%,28,33,8,9,57,2.236067977,33.06055051,A,True,False,1.4142135623730951
59783,71,34,4,1,cell,97%,27,23,8,8,51,11.40175425,23.19482701,A,False,True,11.102507200068258
59784,71,34,4,2,cell,94%,28,32,9,8,57,2.828427125,32.06243908,A,True,False,1.0
59787,71,35,2,1,cell,96%,28,30,8,7,44,4.472135955,30.06659276,A,True,False,4.280701754385966
59788,71,35,2,2,cell,94%,29,38,6,7,33,-4.123105626,38.01315562,B,False,True,10.293288846087691
59789,71,36,2,1,cell,96%,30,31,8,8,51,3.0,31.0,A,True,False,3.8269770684088815
59790,71,36,2,2,cell,96%,29,40,7,8,44,-6.08276253,40.01249805,B,False,True,10.04987562112089
59791,71,37,2,1,cell,96%,29,31,9,8,57,3.16227766,31.01612484,A,True,False,2.1764705882352944
59792,71,37,2,2,cell,95%,30,42,8,8,51,-8.0,42.0,B,False,True,11.0
59793,71,38,2,1,cell,96%,29,30,8,8,51,4.123105626,30.01666204,A,True,False,2.052631578947368
59794,71,38,2,2,cell,96%,29,40,9,9,64,-6.08276253,40.01249805,B,False,True,10.228070175438596
59795,71,39,2,1,cell,95%,29,41,10,9,71,-7.071067812,41.01219331,B,False,True,14.92156862745098
59796,71,39,2,2,cell,95%,29,31,10,8,63,3.16227766,31.01612484,A,True,False,3.3529411764705888
59797,71,40,2,1,cell,95%,29,41,10,9,71,-7.071067812,41.01219331,B,False,True,11.269841269841269
59798,71,40,2,2,cell,96%,29,30,9,9,64,4.123105626,30.01666204,A,True,False,1.1587301587301582
59799,71,41,2,1,cell,96%,26,21,9,8,57,13.60147051,21.37755833,A,False,True,10.580582980505138
59800,71,41,2,2,cell,96%,27,30,9,9,64,5.0,30.14962686,A,True,False,2.0
59801,71,42,3,1,cell,97%,28,20,10,9,71,14.14213562,20.09975124,A,False,True,11.14362562112089
59802,71,42,3,2,cell,96%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,3.09375
59804,71,43,3,1,cell,95%,26,19,9,9,64,15.5241747,19.41648784,A,False,True,12.629824426429975
59805,71,43,3,2,cell,96%,29,30,8,9,57,4.123105626,30.01666204,A,True,False,0.0
59807,71,44,4,1,cell,96%,25,17,10,8,63,17.72004515,17.72004515,A,False,True,14.654102087682814
59808,71,44,4,2,cell,97%,29,31,8,8,51,3.16227766,31.01612484,A,True,False,2.052631578947368
59811,71,45,2,1,cell,96%,29,31,9,8,57,3.16227766,31.01612484,A,True,False,1.1764705882352944
59812,71,45,2,2,cell,93%,30,40,8,7,44,-6.0,40.0,B,False,True,10.42793415774526
59813,71,46,2,1,cell,96%,28,31,9,9,64,3.605551275,31.06444913,A,True,False,2.228070175438596
59814,71,46,2,2,cell,94%,28,40,9,9,64,-6.32455532,40.04996879,B,False,True,10.283455313576013
59815,71,47,2,1,cell,96%,29,31,11,9,78,3.16227766,31.01612484,A,True,False,3.1875
59816,71,47,2,2,cell,94%,28,41,9,9,64,-7.280109889,41.0487515,B,False,True,10.0
59818,71,48,3,2,cell,96%,29,32,10,8,63,2.236067977,32.01562119,A,True,False,2.923076923076923
59819,71,48,3,3,cell,95%,29,43,8,9,57,-9.055385138,43.01162634,B,False,True,14.692307692307693
59821,71,49,3,2,cell,95%,30,31,8,7,44,3.0,31.0,A,True,False,4.430086578246112
59822,71,49,3,3,cell,81%,31,38,6,5,24,-4.123105626,38.01315562,B,False,True,12.51503151081295
59824,71,50,3,2,cell,96%,29,30,8,7,44,4.123105626,30.01666204,A,True,False,1.4142135623730951
59825,71,50,3,3,cell,94%,30,39,7,6,33,-5.0,39.0,B,False,True,10.5
59827,71,51,3,2,cell,97%,28,31,9,7,50,3.605551275,31.06444913,A,True,False,2.77784992600946
59828,71,51,3,3,cell,95%,30,41,8,7,44,-7.0,41.0,B,False,True,11.045361017187261
59830,71,52,3,2,cell,97%,29,32,9,8,57,2.236067977,32.01562119,A,True,False,2.8142135623730944
59831,71,52,3,3,cell,95%,30,42,8,8,51,-8.0,42.0,B,False,True,11.380339887498948
59832,71,53,2,1,cell,97%,29,31,10,8,63,3.16227766,31.01612484,A,True,False,2.0526315789473695
59833,71,53,2,2,cell,94%,29,41,9,9,64,-7.071067812,41.01219331,B,False,True,10.228070175438596
59834,71,54,2,1,cell,96%,29,30,10,9,71,4.123105626,30.01666204,A,True,False,2.2698412698412698
59835,71,54,2,2,cell,95%,28,41,9,9,64,-7.280109889,41.0487515,B,False,True,10.208605779851048
59836,71,55,2,1,cell,97%,29,30,10,8,63,4.123105626,30.01666204,A,True,False,1.1267605633802813
59837,71,55,2,2,cell,95%,29,41,8,9,57,-7.071067812,41.01219331,B,False,True,12.971830985915492
59839,71,56,3,2,cell,94%,29,32,10,8,63,2.236067977,32.01562119,A,True,False,2.0
59840,71,56,3,3,cell,97%,30,40,6,6,29,-6.0,40.0,B,False,True,15.446701017946287
59842,71,57,3,2,cell,95%,30,31,10,7,55,3.0,31.0,A,True,False,2.6840548322143647
59843,71,57,3,3,cell,95%,30,39,6,6,29,-5.0,39.0,B,False,True,12.467893208690873
59846,71,58,4,3,cell,97%,29,31,10,8,63,3.16227766,31.01612484,A,True,False,2.454545454545455
59847,71,58,4,4,cell,94%,29,40,7,7,39,-6.08276253,40.01249805,B,False,True,11.964476047228327
59848,71,59,2,1,cell,97%,30,31,10,8,63,3.0,31.0,A,True,False,1.0
59849,71,59,2,2,cell,95%,30,41,8,8,51,-7.0,41.0,B,False,True,11.954637525882795
59850,71,60,2,1,cell,97%,30,30,10,8,63,4.0,30.0,A,True,False,1.0
59851,71,60,2,2,cell,95%,30,41,8,8,51,-7.0,41.0,B,False,True,11.904761904761905
59852,71,61,2,1,cell,97%,30,29,10,9,71,5.0,29.0,A,True,False,2.2698412698412698
59853,71,61,2,2,cell,96%,30,40,10,9,71,-6.0,40.0,B,False,True,11.269841269841269
59854,71,62,2,1,cell,97%,29,30,10,9,71,4.123105626,30.01666204,A,True,False,1.4142135623730951
59855,71,62,2,2,cell,95%,28,41,9,9,64,-7.280109889,41.0487515,B,False,True,13.151440553554183
59856,71,63,3,1,cell,96%,29,32,9,8,57,2.236067977,32.01562119,A,True,False,3.9718309859154926
59857,71,63,3,2,cell,94%,29,44,8,10,63,-10.04987562,44.01136217,B,False,True,15.126760563380282
59859,71,64,3,1,cell,96%,30,30,10,7,55,4.0,30.0,A,True,False,2.586945170482246
59861,71,64,3,3,cell,95%,31,38,6,6,29,-4.123105626,38.01315562,B,False,True,11.236836022091143
59862,71,65,3,1,cell,95%,28,31,9,7,50,3.605551275,31.06444913,A,True,False,3.145158886590699
59864,71,65,3,3,cell,95%,29,40,6,6,29,-6.08276253,40.01249805,B,False,True,14.777148348393617
59865,71,66,3,1,cell,96%,29,32,9,8,57,2.236067977,32.01562119,A,True,False,2.8142135623730944
59866,71,66,3,2,cell,95%,29,41,8,7,44,-7.071067812,41.01219331,B,False,True,11.24987562112089
59868,71,67,4,1,cell,94%,29,31,10,9,71,3.16227766,31.01612484,A,True,False,3.456140350877194
59870,71,67,4,3,cell,94%,29,41,8,7,44,-7.071067812,41.01219331,B,False,True,11.280701754385966
59872,71,68,2,1,cell,95%,29,31,10,8,63,3.16227766,31.01612484,A,True,False,1.1267605633802813
59873,71,68,2,2,cell,94%,29,41,8,9,57,-7.071067812,41.01219331,B,False,True,11.971830985915492
59874,71,69,2,1,cell,97%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,3.2698412698412698
59875,71,69,2,2,cell,95%,29,40,10,9,71,-6.08276253,40.01249805,B,False,True,10.269841269841269
59876,71,70,2,1,cell,97%,30,29,10,9,71,5.0,29.0,A,True,False,1.0
59877,71,70,2,2,cell,96%,30,40,10,9,71,-6.0,40.0,B,False,True,11.045361017187261
59878,71,71,2,1,cell,96%,28,31,9,8,57,3.605551275,31.06444913,A,True,False,4.800258110661683
59879,71,71,2,2,cell,96%,29,43,8,10,63,-9.055385138,43.01162634,B,False,True,15.162429410998483
59880,71,72,2,1,cell,97%,30,29,10,7,55,5.0,29.0,A,True,False,3.179304317728646
59881,71,72,2,2,cell,90%,30,37,5,6,24,-3.0,37.0,B,False,True,12.114029004547286
59882,71,73,2,1,cell,97%,30,30,9,8,57,4.0,30.0,A,True,False,1.3636363636363638
59883,71,73,2,2,cell,95%,31,39,6,6,29,-5.099019514,39.01281841,B,False,True,14.777148348393617
59884,71,74,2,1,cell,97%,30,30,10,8,63,4.0,30.0,A,True,False,1.0526315789473695
59885,71,74,2,2,cell,95%,29,39,7,7,39,-5.099019514,39.01281841,B,False,True,12.213279874979523
59886,71,75,2,1,cell,97%,30,30,10,8,63,4.0,30.0,A,True,False,0.0
59887,71,75,2,2,cell,96%,31,41,8,8,51,-7.071067812,41.01219331,B,False,True,12.950122921949166
59888,71,76,2,1,cell,96%,30,29,10,9,71,5.0,29.0,A,True,False,2.2698412698412698
59889,71,76,2,2,cell,95%,30,40,8,8,51,-6.0,40.0,B,False,True,11.904761904761905
59890,71,77,2,1,cell,97%,29,29,11,9,78,5.099019514,29.01723626,A,True,False,1.9859154929577474
59891,71,77,2,2,cell,95%,30,41,10,10,79,-7.0,41.0,B,False,True,13.126760563380282
59892,71,78,3,1,cell,97%,30,32,10,10,79,2.0,32.0,A,True,False,3.2904827883735073
59893,71,78,3,2,cell,96%,30,43,9,10,71,-9.0,43.0,B,False,True,14.933104745054099
59895,71,79,2,1,cell,97%,29,30,9,9,64,4.123105626,30.01666204,A,True,False,4.13480215471498
59896,71,79,2,2,cell,96%,30,42,8,10,63,-8.0,42.0,B,False,True,12.025316455696203
59897,71,80,2,1,cell,96%,29,31,11,8,70,3.16227766,31.01612484,A,True,False,1.9375
59898,71,80,2,2,cell,94%,29,39,6,6,29,-5.099019514,39.01281841,B,False,True,14.46875
59899,71,81,2,1,cell,96%,29,30,10,8,63,4.123105626,30.01666204,A,True,False,1.9999999999999998
59900,71,81,2,2,cell,96%,29,39,6,7,33,-5.099019514,39.01281841,B,False,True,13.285714285714285
59901,71,82,2,1,cell,96%,29,30,10,9,71,4.123105626,30.01666204,A,True,False,1.2698412698412698
59902,71,82,2,2,cell,95%,28,40,7,8,44,-6.32455532,40.04996879,B,False,True,13.065748636993906
59903,71,83,2,1,cell,96%,30,30,10,9,71,4.0,30.0,A,True,False,1.0
59904,71,83,2,2,cell,96%,30,41,8,8,51,-7.0,41.0,B,False,True,13.862262425637965
59905,71,84,2,1,cell,96%,29,29,11,9,78,5.099019514,29.01723626,A,True,False,2.4001290553308428
59906,71,84,2,2,cell,95%,30,40,8,8,51,-6.0,40.0,B,False,True,12.816901408450704
59908,71,85,3,2,cell,96%,29,32,10,10,79,2.236067977,32.01562119,A,True,False,3.1282051282051277
59909,71,85,3,3,cell,95%,28,42,9,9,64,-8.246211251,42.04759208,B,False,True,14.833276605277094
59911,71,86,4,2,cell,96%,30,30,10,9,71,4.0,30.0,A,True,False,3.248726205347891
59912,71,86,4,3,cell,96%,29,42,9,9,64,-8.062257748,42.01190308,B,False,True,11.89873417721519
59914,71,87,3,1,cell,93%,27,23,6,6,29,11.40175425,23.19482701,A,False,True,13.531266063610389
59915,71,87,3,2,cell,95%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,2.9718309859154926
59917,71,88,4,1,cell,89%,27,23,7,6,33,11.40175425,23.19482701,A,False,True,11.490636205069993
59918,71,88,4,2,cell,96%,29,30,9,9,64,4.123105626,30.01666204,A,True,False,1.2280701754385959
59921,71,89,4,1,cell,94%,27,22,8,7,44,12.36931688,22.20360331,A,False,True,11.371211251235321
59923,71,89,4,3,cell,96%,29,31,9,9,64,3.16227766,31.01612484,A,True,False,1.0
59925,71,90,4,1,cell,95%,27,22,9,8,57,12.36931688,22.20360331,A,False,True,10.313294457292889
59926,71,90,4,2,cell,92%,28,32,9,10,71,2.828427125,32.06243908,A,True,False,2.507963562373095
59929,71,91,4,1,cell,93%,28,22,8,7,44,12.16552506,22.09072203,A,False,True,13.802816901408452
59931,71,91,4,3,cell,95%,29,30,9,9,64,4.123105626,30.01666204,A,True,False,3.221983470457536
59933,71,92,4,1,cell,94%,28,21,9,8,57,13.15294644,21.09502311,A,False,True,10.149135138137417
59935,71,92,4,3,cell,95%,29,30,9,9,64,4.123105626,30.01666204,A,True,False,0.0
59937,71,93,2,1,cell,96%,28,30,9,10,71,4.472135955,30.06659276,A,True,False,2.09375
59938,71,93,2,2,cell,95%,29,41,10,10,79,-7.071067812,41.01219331,B,False,True,13.34375
59939,71,94,1,1,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,1.4142135623730951
59940,71,95,2,1,cell,95%,30,28,8,8,51,6.0,28.0,A,True,False,4.231114970823799
59941,71,95,2,2,cell,82%,29,36,5,6,24,-2.236067977,36.01388621,B,False,True,13.619718309859156
59942,71,96,2,1,cell,96%,29,30,10,10,79,4.123105626,30.01666204,A,True,False,7.726264055931162
59943,71,96,2,2,cell,96%,29,39,7,8,44,-5.099019514,39.01281841,B,False,True,12.417910036795103
59944,71,97,2,1,cell,96%,28,29,9,9,64,5.385164807,29.06888371,A,True,False,3.312947739588285
59945,71,97,2,2,cell,95%,29,40,7,8,44,-6.08276253,40.01249805,B,False,True,14.430379746835444
59946,71,98,2,1,cell,97%,28,29,9,9,64,5.385164807,29.06888371,A,True,False,0.0
59947,71,98,2,2,cell,95%,29,40,8,9,57,-6.08276253,40.01249805,B,False,True,12.139111017187261
59949,71,99,3,2,cell,96%,28,30,9,9,64,4.472135955,30.06659276,A,True,False,1.0
59950,71,99,3,3,cell,95%,29,41,9,9,64,-7.071067812,41.01219331,B,False,True,12.041594578792294
59952,71,100,3,2,cell,96%,28,30,9,9,64,4.472135955,30.06659276,A,True,False,0.0
59953,71,100,3,3,cell,95%,29,42,9,9,64,-8.062257748,42.01190308,B,False,True,12.041594578792294
59954,71,101,2,1,cell,95%,28,30,9,9,64,4.472135955,30.06659276,A,True,False,0.0
59955,71,101,2,2,cell,93%,28,42,7,8,44,-8.246211251,42.04759208,B,False,True,15.125
59956,71,102,1,1,cell,96%,29,29,9,9,64,5.099019514,29.01723626,A,True,False,1.4142135623730951
59957,71,103,2,1,cell,96%,28,29,9,8,57,5.385164807,29.06888371,A,True,False,2.09375
59958,71,103,2,2,cell,95%,29,39,6,7,33,-5.099019514,39.01281841,B,False,True,14.84375
59959,71,104,2,1,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,3.456140350877194
59960,71,104,2,2,cell,95%,29,40,7,8,44,-6.08276253,40.01249805,B,False,True,13.326062771573227
59961,71,105,2,1,cell,97%,29,30,10,9,71,4.123105626,30.01666204,A,True,False,1.0
59962,71,105,2,2,cell,95%,29,41,8,8,51,-7.071067812,41.01219331,B,False,True,14.816901408450704
59963,71,106,2,1,cell,97%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,1.0
59964,71,106,2,2,cell,96%,29,40,8,9,57,-6.08276253,40.01249805,B,False,True,11.971830985915492
59965,71,107,2,1,cell,97%,29,29,10,10,79,5.099019514,29.01723626,A,True,False,1.1267605633802824
59966,71,107,2,2,cell,95%,29,42,10,10,79,-8.062257748,42.01190308,B,False,True,14.126760563380282
59968,71,108,3,2,cell,97%,30,29,10,10,79,5.0,29.0,A,True,False,1.0
59969,71,108,3,3,cell,96%,30,41,10,10,79,-7.0,41.0,B,False,True,12.041594578792294
59970,71,109,2,1,cell,95%,29,20,13,8,82,14.03566885,20.02498439,A,False,True,9.435131973580456
59971,71,109,2,2,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,2.0126582278481013
59973,71,110,4,2,cell,95%,29,21,12,9,85,13.03840481,21.02379604,A,False,True,9.971830985915492
59974,71,110,4,3,cell,96%,28,30,11,9,78,4.472135955,30.06659276,A,True,False,2.4001290553308428
59976,71,111,2,1,cell,97%,30,30,11,8,70,4.0,30.0,A,True,False,3.0256410256410255
59977,71,111,2,2,cell,94%,30,40,7,8,44,-6.0,40.0,B,False,True,14.55701338615993
59978,71,112,2,1,cell,96%,28,30,11,9,78,4.472135955,30.06659276,A,True,False,3.1428571428571432
59979,71,112,2,2,cell,95%,28,41,8,9,57,-7.280109889,41.0487515,B,False,True,13.037482744641805
59980,71,113,2,1,cell,97%,29,29,11,9,78,5.099019514,29.01723626,A,True,False,1.4142135623730951
59981,71,113,2,2,cell,95%,29,41,9,10,71,-7.071067812,41.01219331,B,False,True,11.942796914623159
59982,71,114,2,1,cell,96%,29,29,11,10,87,5.099019514,29.01723626,A,True,False,1.1538461538461542
59983,71,114,2,2,cell,96%,31,40,10,11,87,-6.08276253,40.01249805,B,False,True,12.334186041345102
59984,71,115,2,1,cell,97%,28,31,10,10,79,3.605551275,31.06444913,A,True,False,3.155608207384847
59985,71,115,2,2,cell,97%,29,42,9,9,64,-8.062257748,42.01190308,B,False,True,15.64367816091954
59986,71,116,2,1,cell,97%,29,30,10,9,71,4.123105626,30.01666204,A,True,False,2.4268717902211963
59987,71,116,2,2,cell,96%,30,43,8,10,63,-9.0,43.0,B,False,True,14.19084151629264
59988,71,117,2,1,cell,96%,30,30,10,8,63,4.0,30.0,A,True,False,2.126760563380281
59989,71,117,2,2,cell,95%,30,38,6,6,29,-4.0,38.0,B,False,True,13.977750706045029
59990,71,118,2,1,cell,95%,28,29,11,8,70,5.385164807,29.06888371,A,True,False,3.3471790886109014
59991,71,118,2,2,cell,95%,29,39,8,8,51,-5.099019514,39.01281841,B,False,True,10.960147042899322
59992,71,119,2,1,cell,96%,29,30,10,9,71,4.123105626,30.01666204,A,True,False,1.5570707052302375
59993,71,119,2,2,cell,95%,29,40,8,8,51,-6.08276253,40.01249805,B,False,True,13.759646731472976
59994,71,120,2,1,cell,97%,30,30,11,8,70,4.0,30.0,A,True,False,1.140845070422535
59995,71,120,2,2,cell,95%,30,41,8,8,51,-7.0,41.0,B,False,True,13.862262425637965
59996,71,121,2,1,cell,97%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,1.5570707052302375
59997,71,121,2,2,cell,96%,29,41,10,11,87,-7.071067812,41.01219331,B,False,True,13.47393244575869
59998,71,122,2,1,cell,97%,27,29,11,10,87,5.830951895,29.15475947,A,True,False,4.253521126760562
59999,71,122,2,2,cell,96%,28,41,10,10,79,-7.280109889,41.0487515,B,False,True,13.168355142172576
60000,71,123,1,1,cell,96%,29,30,11,9,78,4.123105626,30.01666204,A,True,False,3.2705507361204793
60001,71,124,2,1,cell,96%,28,30,11,8,70,4.472135955,30.06659276,A,True,False,2.0256410256410255
60002,71,124,2,2,cell,95%,29,39,6,6,29,-5.099019514,39.01281841,B,False,True,15.282051282051281
