,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,is_mother_cell,is_daughter_cell,last_mother_cost
85436,102,1,1,1,cell,95%,30,31,8,7,44,3.0,31.0,A,True,False,0.0
85437,102,2,1,1,cell,94%,29,31,9,8,57,3.16227766,31.01612484,A,True,False,3.954545454545454
85438,102,3,1,1,cell,94%,28,31,9,8,57,3.605551275,31.06444913,A,True,False,1.0
85439,102,4,1,1,cell,96%,30,30,8,9,57,4.0,30.0,A,True,False,2.23606797749979
85440,102,5,1,1,cell,96%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,1.0
85441,102,6,2,1,cell,95%,30,30,8,7,44,4.0,30.0,A,True,False,3.2807017543859653
85442,102,6,2,2,cell,93%,30,39,4,6,19,-5.0,39.0,B,False,True,15.722051804804085
85443,102,7,2,1,cell,95%,29,29,8,7,44,5.099019514,29.01723626,A,True,False,1.4142135623730951
85444,102,7,2,2,cell,95%,29,39,7,7,39,-5.099019514,39.01281841,B,False,True,10.191748774501054
85445,102,8,2,1,cell,96%,29,30,8,8,51,4.123105626,30.01666204,A,True,False,2.5909090909090917
85446,102,8,2,2,cell,96%,29,40,7,7,39,-6.08276253,40.01249805,B,False,True,12.136363636363637
85447,102,9,2,1,cell,96%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,1.1764705882352944
85448,102,9,2,2,cell,96%,29,40,7,7,39,-6.08276253,40.01249805,B,False,True,12.352941176470589
85449,102,10,2,1,cell,96%,30,30,9,8,57,4.0,30.0,A,True,False,1.0
85450,102,10,2,2,cell,96%,30,41,8,8,51,-7.0,41.0,B,False,True,12.09799259613463
85451,102,11,2,1,cell,95%,30,30,10,8,63,4.0,30.0,A,True,False,1.0526315789473695
85452,102,11,2,2,cell,95%,29,41,9,8,57,-7.071067812,41.01219331,B,False,True,11.045361017187261
85453,102,12,2,1,cell,97%,30,29,10,9,71,5.0,29.0,A,True,False,2.2698412698412698
85454,102,12,2,2,cell,96%,30,41,8,8,51,-7.0,41.0,B,False,True,12.904761904761905
85455,102,13,1,1,cell,96%,30,29,8,7,44,5.0,29.0,A,True,False,3.802816901408451
85456,102,14,2,1,cell,96%,30,29,9,7,50,5.0,29.0,A,True,False,1.3636363636363646
85457,102,14,2,2,cell,28%,31,39,4,6,19,-5.099019514,39.01281841,B,False,True,15.731693802939072
85458,102,15,2,1,cell,96%,29,30,9,7,50,4.123105626,30.01666204,A,True,False,1.4142135623730951
85459,102,15,2,2,cell,95%,30,40,7,7,39,-6.0,40.0,B,False,True,13.2
85460,102,16,3,1,cell,96%,29,31,8,8,51,3.16227766,31.01612484,A,True,False,1.2000000000000002
85461,102,16,3,2,cell,95%,30,40,8,7,44,-6.0,40.0,B,False,True,11.24987562112089
85463,102,17,3,1,cell,97%,30,30,8,8,51,4.0,30.0,A,True,False,1.4142135623730951
85464,102,17,3,2,cell,96%,30,40,7,7,39,-6.0,40.0,B,False,True,11.408326314608006
85466,102,18,3,1,cell,95%,29,41,9,8,57,-7.071067812,41.01219331,B,False,True,12.221831605422555
85467,102,18,3,2,cell,96%,30,31,9,8,57,3.0,31.0,A,True,False,2.1764705882352944
85469,102,19,3,1,cell,96%,29,42,9,8,57,-8.062257748,42.01190308,B,False,True,11.045361017187261
85470,102,19,3,2,cell,96%,29,32,8,8,51,2.236067977,32.01562119,A,True,False,2.4668451413204635
85472,102,20,2,1,cell,95%,28,23,9,8,57,11.18033989,23.08679276,A,False,True,10.23185572637271
85473,102,20,2,2,cell,93%,29,32,7,8,44,2.236067977,32.01562119,A,True,False,1.3725490196078427
85474,102,21,3,1,cell,96%,27,19,10,9,71,15.29705854,19.23538406,A,False,True,19.28931007432954
85475,102,21,3,2,cell,96%,29,30,8,7,44,4.123105626,30.01666204,A,True,False,2.0
85477,102,22,4,1,cell,96%,27,18,9,9,64,16.2788206,18.24828759,A,False,True,16.710979606050984
85478,102,22,4,2,cell,97%,30,31,8,8,51,3.0,31.0,A,True,False,3.0051226532821866
85482,102,23,4,2,cell,96%,29,31,10,8,63,3.16227766,31.01612484,A,True,False,3.3529411764705888
85484,102,23,4,4,cell,85%,30,22,9,6,43,12.0,22.0,A,False,True,10.568627450980392
85486,102,24,4,2,cell,97%,30,31,10,9,71,3.0,31.0,A,True,False,2.2698412698412698
85488,102,24,4,4,cell,92%,32,22,8,6,38,12.16552506,22.09072203,A,False,True,13.455086948759106
85489,102,25,2,1,cell,96%,30,29,10,9,71,5.0,29.0,A,True,False,2.0
85490,102,25,2,2,cell,96%,30,41,10,10,79,-7.0,41.0,B,False,True,11.126760563380282
85491,102,26,2,1,cell,96%,30,29,10,9,71,5.0,29.0,A,True,False,0.0
85492,102,26,2,2,cell,96%,29,41,9,9,64,-7.071067812,41.01219331,B,False,True,13.02751007175004
85493,102,27,2,1,cell,96%,30,30,9,8,57,4.0,30.0,A,True,False,2.9718309859154926
85494,102,27,2,2,cell,95%,31,42,8,8,51,-8.062257748,42.01190308,B,False,True,15.855306218856002
85495,102,28,1,1,cell,96%,29,29,9,7,50,5.099019514,29.01723626,A,True,False,2.642283737811692
85496,102,29,2,1,cell,96%,30,31,9,8,57,3.0,31.0,A,True,False,3.636067977499789
85497,102,29,2,2,cell,94%,30,40,7,6,33,-6.0,40.0,B,False,True,14.44536101718726
85498,102,30,2,1,cell,96%,30,31,9,8,57,3.0,31.0,A,True,False,0.0
85499,102,30,2,2,cell,94%,29,41,7,8,44,-7.071067812,41.01219331,B,False,True,12.330577375506856
85500,102,31,2,1,cell,96%,30,30,9,7,50,4.0,30.0,A,True,False,2.2280701754385968
85501,102,31,2,2,cell,96%,29,41,7,7,39,-7.071067812,41.01219331,B,False,True,13.207770357962996
85502,102,32,2,1,cell,96%,30,30,10,8,63,4.0,30.0,A,True,False,2.6
85503,102,32,2,2,cell,95%,30,41,8,8,51,-7.0,41.0,B,False,True,11.2
85504,102,33,2,1,cell,96%,30,30,10,9,71,4.0,30.0,A,True,False,1.2698412698412698
85505,102,33,2,2,cell,96%,30,42,8,8,51,-8.0,42.0,B,False,True,13.904761904761905
85506,102,34,1,1,cell,95%,29,29,9,7,50,5.099019514,29.01723626,A,True,False,4.371960041246335
85507,102,35,2,1,cell,96%,30,30,9,7,50,4.0,30.0,A,True,False,1.4142135623730951
85508,102,35,2,2,cell,95%,30,39,6,6,29,-5.0,39.0,B,False,True,14.24987562112089
85510,102,36,3,2,cell,96%,30,30,8,8,51,4.0,30.0,A,True,False,0.20000000000000018
85511,102,36,3,3,cell,95%,30,39,8,7,44,-5.0,39.0,B,False,True,10.2
85513,102,37,3,2,cell,96%,29,31,9,9,64,3.16227766,31.01612484,A,True,False,3.963233170216232
85514,102,37,3,3,cell,96%,30,40,7,7,39,-6.0,40.0,B,False,True,12.352941176470589
85516,102,38,3,2,cell,95%,30,31,9,8,57,3.0,31.0,A,True,False,2.09375
85517,102,38,3,3,cell,96%,30,42,8,8,51,-8.0,42.0,B,False,True,13.076611017187261
85519,102,39,3,2,cell,95%,29,30,9,9,64,4.123105626,30.01666204,A,True,False,2.642283737811691
85520,102,39,3,3,cell,96%,30,42,8,8,51,-8.0,42.0,B,False,True,12.052631578947368
85522,102,40,3,2,cell,95%,30,31,8,8,51,3.0,31.0,A,True,False,3.445463562373095
85523,102,40,3,3,cell,96%,30,43,8,8,51,-9.0,43.0,B,False,True,15.069654810405298
85524,102,41,2,1,cell,95%,28,22,10,9,71,12.16552506,22.09072203,A,False,True,13.141113084743868
85525,102,41,2,2,cell,94%,30,31,8,7,44,3.0,31.0,A,True,False,1.3725490196078427
85526,102,42,3,1,cell,95%,28,20,10,9,71,14.14213562,20.09975124,A,False,True,17.316703523862582
85527,102,42,3,2,cell,94%,30,31,9,7,50,3.0,31.0,A,True,False,1.3636363636363646
85530,102,43,4,2,cell,95%,28,19,11,9,78,15.13274595,19.10497317,A,False,True,17.76552506059644
85531,102,43,4,3,cell,96%,30,30,9,9,64,4.0,30.0,A,True,False,3.8000000000000003
85533,102,44,2,1,cell,96%,30,30,9,8,57,4.0,30.0,A,True,False,1.09375
85534,102,44,2,2,cell,96%,30,41,8,9,57,-7.0,41.0,B,False,True,12.09375
85535,102,45,2,1,cell,96%,29,30,11,9,78,4.123105626,30.01666204,A,True,False,4.684210526315789
85536,102,45,2,2,cell,95%,29,41,9,9,64,-7.071067812,41.01219331,B,False,True,12.273431192625857
85537,102,46,2,1,cell,97%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,1.8974358974358976
85538,102,46,2,2,cell,94%,29,41,9,9,64,-7.071067812,41.01219331,B,False,True,12.794871794871796
85539,102,47,1,1,cell,96%,30,30,9,8,57,4.0,30.0,A,True,False,3.386044548288588
85540,102,48,2,1,cell,95%,28,29,9,7,50,5.385164807,29.06888371,A,True,False,3.4641381529383866
85541,102,48,2,2,cell,51%,28,36,5,5,20,-2.828427125,36.05551275,B,False,True,12.815783390512198
