,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,is_mother_cell,is_daughter_cell,last_mother_cost
31263,36,1,2,1,cell,94%,27,21,9,7,50,13.34166406,21.21320344,A,False,True,12.444579459378378
31264,36,1,2,2,cell,96%,30,30,10,9,71,4.0,30.0,A,True,False,0.0
31265,36,2,2,1,cell,95%,28,22,8,8,51,12.16552506,22.09072203,A,False,True,11.063112659686025
31266,36,2,2,2,cell,95%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,2.9718309859154926
31267,36,3,3,1,cell,95%,28,21,8,8,51,13.15294644,21.09502311,A,False,True,10.108016717084785
31268,36,3,3,2,cell,96%,29,29,10,7,55,5.099019514,29.01723626,A,True,False,1.3508771929824561
31270,36,4,3,1,cell,95%,27,21,8,8,51,13.34166406,21.21320344,A,False,True,8.97348397850805
31271,36,4,3,2,cell,97%,29,29,10,7,55,5.099019514,29.01723626,A,True,False,0.0
31273,36,5,3,1,cell,94%,28,21,9,8,57,13.15294644,21.09502311,A,False,True,8.425894111934912
31274,36,5,3,2,cell,96%,30,31,10,8,63,3.0,31.0,A,True,False,3.690613432045245
31276,36,6,3,1,cell,95%,28,21,9,8,57,13.15294644,21.09502311,A,False,True,11.150419979566523
31277,36,6,3,2,cell,97%,30,29,10,7,55,5.0,29.0,A,True,False,3.2698412698412698
31279,36,7,3,1,cell,95%,28,19,9,9,64,15.13274595,19.10497317,A,False,True,11.834402663549206
31280,36,7,3,2,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,3.90909090909091
31282,36,8,3,1,cell,96%,27,19,10,9,71,15.29705854,19.23538406,A,False,True,10.19803902718557
31283,36,8,3,2,cell,96%,28,30,11,8,70,4.472135955,30.06659276,A,True,False,1.5550586327956302
31285,36,9,3,1,cell,96%,29,19,12,9,85,15.03329638,19.02629759,A,False,True,13.188218160044404
31286,36,9,3,2,cell,97%,30,30,10,8,63,4.0,30.0,A,True,False,3.0
31288,36,10,3,1,cell,97%,29,20,12,9,85,14.03566885,20.02498439,A,False,True,13.541939113184384
31289,36,10,3,2,cell,96%,30,30,10,7,55,4.0,30.0,A,True,False,1.2698412698412698
31291,36,11,3,1,cell,96%,28,20,11,8,70,14.14213562,20.09975124,A,False,True,12.925311754458297
31292,36,11,3,2,cell,95%,30,29,10,7,55,5.0,29.0,A,True,False,1.0
31294,36,12,3,1,cell,96%,27,20,10,9,71,14.31782106,20.22374842,A,False,True,12.395923889596048
31295,36,12,3,2,cell,96%,28,30,9,9,64,4.472135955,30.06659276,A,True,False,3.8724316138634256
31298,36,13,4,2,cell,96%,29,20,12,8,76,14.03566885,20.02498439,A,False,True,11.92487562112089
31299,36,13,4,3,cell,96%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,2.507963562373095
31302,36,14,4,2,cell,97%,28,20,10,9,71,14.14213562,20.09975124,A,False,True,11.51152548901461
31303,36,14,4,3,cell,96%,29,30,11,9,78,4.123105626,30.01666204,A,True,False,4.684210526315789
31305,36,15,2,1,cell,97%,29,28,11,9,78,6.08276253,28.01785145,A,True,False,2.0
31306,36,15,2,2,cell,97%,29,39,9,9,64,-5.099019514,39.01281841,B,False,True,10.794871794871796
31307,36,16,2,1,cell,97%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,1.8974358974358976
31308,36,16,2,2,cell,95%,29,40,10,9,71,-6.08276253,40.01249805,B,False,True,12.897435897435898
31309,36,17,2,1,cell,96%,29,40,10,9,71,-6.08276253,40.01249805,B,False,True,11.0
31310,36,17,2,2,cell,97%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,0.0
31311,36,18,2,1,cell,96%,29,28,9,7,50,6.08276253,28.01785145,A,True,False,3.95774647887324
31312,36,18,2,2,cell,27%,29,35,4,5,16,-1.414213562,35.0142828,B,False,True,13.746478873239436
31313,36,19,2,1,cell,95%,28,28,9,8,57,6.32455532,28.0713377,A,True,False,2.399999999999999
31314,36,19,2,2,cell,95%,28,37,7,7,39,-3.605551275,37.05401463,B,False,True,11.255385138137417
31315,36,20,2,1,cell,96%,29,29,10,8,63,5.099019514,29.01723626,A,True,False,2.466845141320465
31316,36,20,2,2,cell,95%,28,39,7,8,44,-5.385164807,39.05124838,B,False,True,13.280701754385966
31317,36,21,2,1,cell,95%,28,29,9,8,57,5.385164807,29.06888371,A,True,False,1.9523809523809523
31318,36,21,2,2,cell,95%,28,39,8,8,51,-5.385164807,39.05124838,B,False,True,11.954637525882795
31319,36,22,2,1,cell,96%,29,28,11,9,78,6.08276253,28.01785145,A,True,False,5.098424088688885
31320,36,22,2,2,cell,96%,28,39,9,9,64,-5.385164807,39.05124838,B,False,True,11.228070175438596
31321,36,23,2,1,cell,95%,28,28,10,9,71,6.32455532,28.0713377,A,True,False,1.8974358974358976
31322,36,23,2,2,cell,96%,28,39,11,9,78,-5.385164807,39.05124838,B,False,True,11.045361017187261
31323,36,24,1,1,cell,95%,29,29,10,10,79,5.099019514,29.01723626,A,True,False,2.5409741257533778
31324,36,25,2,1,cell,96%,28,28,9,7,50,6.32455532,28.0713377,A,True,False,5.085099638322462
31325,36,25,2,2,cell,75%,28,36,5,6,24,-2.828427125,36.05551275,B,False,True,14.033093128321172
31326,36,26,2,1,cell,96%,30,29,10,8,63,5.0,29.0,A,True,False,4.8360679774997894
31327,36,26,2,2,cell,96%,29,38,7,7,39,-4.123105626,38.01315562,B,False,True,12.24987562112089
31328,36,27,2,1,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,2.2698412698412698
31329,36,27,2,2,cell,96%,29,39,8,7,44,-5.099019514,39.01281841,B,False,True,13.065748636993906
31330,36,28,2,1,cell,95%,28,28,10,8,63,6.32455532,28.0713377,A,True,False,2.5409741257533764
