,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,is_mother_cell,is_daughter_cell,last_mother_cost
29294,34,1,2,1,cell,97%,29,29,11,9,78,5.099019514,29.01723626,A,True,False,0.0
29295,34,1,2,2,cell,93%,29,39,6,7,33,-5.099019514,39.01281841,B,False,True,15.769230769230768
29296,34,2,2,1,cell,96%,29,28,10,9,71,6.08276253,28.01785145,A,True,False,1.8974358974358976
29297,34,2,2,2,cell,95%,28,38,7,7,39,-4.472135955,38.05259518,B,False,True,14.055385138137417
29298,34,3,2,1,cell,97%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,1.0
29299,34,3,2,2,cell,94%,29,38,7,7,39,-4.123105626,38.01315562,B,False,True,14.507042253521126
29300,34,4,2,1,cell,97%,30,28,10,9,71,6.0,28.0,A,True,False,1.4142135623730951
29301,34,4,2,2,cell,96%,29,38,7,7,39,-4.123105626,38.01315562,B,False,True,13.507042253521126
29302,34,5,2,1,cell,96%,28,29,11,9,78,5.385164807,29.06888371,A,True,False,3.221983470457537
29303,34,5,2,2,cell,94%,28,39,7,7,39,-5.385164807,39.05124838,B,False,True,15.687382141020073
29304,34,6,2,1,cell,97%,29,29,10,10,79,5.099019514,29.01723626,A,True,False,1.1282051282051277
29305,34,6,2,2,cell,95%,29,38,7,7,39,-4.123105626,38.01315562,B,False,True,14.055385138137417
29306,34,7,2,1,cell,96%,30,28,11,10,87,6.0,28.0,A,True,False,2.426871790221197
29307,34,7,2,2,cell,95%,30,38,6,8,38,-4.0,38.0,B,False,True,14.245258555858936
29308,34,8,2,1,cell,96%,28,28,11,9,78,6.32455532,28.0713377,A,True,False,3.0344827586206895
29309,34,8,2,2,cell,95%,29,38,7,7,39,-4.123105626,38.01315562,B,False,True,15.567117000431235
29310,34,9,2,1,cell,96%,29,28,10,10,79,6.08276253,28.01785145,A,True,False,1.1282051282051277
29311,34,9,2,2,cell,95%,28,39,7,8,44,-5.385164807,39.05124838,B,False,True,15.35897435897436
29312,34,10,2,1,cell,96%,29,28,10,10,79,6.08276253,28.01785145,A,True,False,0.0
29313,34,10,2,2,cell,95%,29,38,7,7,39,-4.123105626,38.01315562,B,False,True,15.063291139240507
29314,34,11,2,1,cell,97%,30,27,10,10,79,7.0,27.0,A,True,False,1.4142135623730951
29315,34,11,2,2,cell,94%,30,37,7,8,44,-3.0,37.0,B,False,True,13.48576488497286
29316,34,12,2,1,cell,97%,29,27,10,10,79,7.071067812,27.01851217,A,True,False,1.0
29317,34,12,2,2,cell,95%,29,38,7,8,44,-4.123105626,38.01315562,B,False,True,15.475740764022705
29318,34,13,2,1,cell,97%,29,27,11,11,96,7.071067812,27.01851217,A,True,False,2.1518987341772156
29319,34,13,2,2,cell,96%,30,38,8,7,44,-4.0,38.0,B,False,True,15.475740764022705
29320,34,14,1,1,cell,97%,29,27,11,11,96,7.071067812,27.01851217,A,True,False,0.0
