,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,is_mother_cell,is_daughter_cell,last_mother_cost
37143,43,1,2,1,cell,96%,29,30,10,8,63,4.123105626,30.01666204,A,True,False,0.0
37144,43,1,2,2,cell,96%,29,39,8,8,51,-5.099019514,39.01281841,B,False,True,10.904761904761905
37145,43,2,2,1,cell,96%,28,29,9,7,50,5.385164807,29.06888371,A,True,False,3.477705625865159
37146,43,2,2,2,cell,95%,29,40,8,8,51,-6.08276253,40.01249805,B,False,True,11.904761904761905
37147,43,3,2,1,cell,97%,30,29,9,8,57,5.0,29.0,A,True,False,3.399999999999999
37148,43,3,2,2,cell,96%,30,39,8,8,51,-5.0,39.0,B,False,True,10.398039027185572
37149,43,4,2,1,cell,95%,28,28,9,9,64,6.32455532,28.0713377,A,True,False,3.4641381529383857
37150,43,4,2,2,cell,95%,28,39,8,9,57,-5.385164807,39.05124838,B,False,True,10.19803902718557
37151,43,5,2,1,cell,97%,29,29,9,10,71,5.099019514,29.01723626,A,True,False,2.507963562373095
37152,43,5,2,2,cell,95%,29,40,9,9,64,-6.08276253,40.01249805,B,False,True,12.041594578792294
37153,43,6,2,1,cell,96%,28,29,10,10,79,5.385164807,29.06888371,A,True,False,2.1267605633802824
37154,43,6,2,2,cell,95%,28,40,8,9,57,-6.32455532,40.04996879,B,False,True,13.017192003102753
37155,43,7,1,1,cell,94%,29,29,8,7,44,5.099019514,29.01723626,A,True,False,5.4303797468354436
37156,43,8,2,1,cell,94%,29,30,8,6,38,4.123105626,30.01666204,A,True,False,2.3636363636363633
37157,43,8,2,2,cell,92%,28,38,5,6,24,-4.472135955,38.05259518,B,False,True,13.600839683591964
37158,43,9,2,1,cell,95%,29,30,9,7,50,4.123105626,30.01666204,A,True,False,3.157894736842106
37159,43,9,2,2,cell,93%,29,38,7,7,39,-4.123105626,38.01315562,B,False,True,8.263157894736842
37160,43,10,2,1,cell,97%,29,30,9,7,50,4.123105626,30.01666204,A,True,False,0.0
37161,43,10,2,2,cell,95%,30,40,8,8,51,-6.0,40.0,B,False,True,10.24987562112089
37162,43,11,2,1,cell,96%,28,29,9,7,50,5.385164807,29.06888371,A,True,False,1.4142135623730951
37163,43,11,2,2,cell,95%,29,39,8,8,51,-5.099019514,39.01281841,B,False,True,9.2
37164,43,12,2,1,cell,96%,28,29,11,8,70,5.385164807,29.06888371,A,True,False,3.999999999999999
37165,43,12,2,2,cell,95%,28,39,9,9,64,-5.385164807,39.05124838,B,False,True,12.8
37166,43,13,2,1,cell,96%,28,29,10,8,63,5.385164807,29.06888371,A,True,False,0.9999999999999998
37167,43,13,2,2,cell,95%,28,39,9,8,57,-5.385164807,39.05124838,B,False,True,11.857142857142858
37168,43,14,1,1,cell,95%,30,29,8,7,44,5.0,29.0,A,True,False,5.015873015873016
37169,43,15,2,1,cell,95%,29,29,9,6,43,5.099019514,29.01723626,A,True,False,1.227272727272727
37170,43,15,2,2,cell,94%,29,37,5,6,24,-3.16227766,37.01351105,B,False,True,12.607712293753096
37172,43,16,3,2,cell,96%,30,29,9,8,57,5.0,29.0,A,True,False,4.255813953488371
37173,43,16,3,3,cell,96%,30,38,6,8,38,-4.0,38.0,B,False,True,10.218175835811836
37174,43,17,3,1,cell,96%,30,28,10,8,63,6.0,28.0,A,True,False,2.0526315789473695
37176,43,17,3,3,cell,95%,29,38,7,8,44,-4.123105626,38.01315562,B,False,True,11.336086892523383
37177,43,18,3,1,cell,96%,30,28,10,9,71,6.0,28.0,A,True,False,1.2698412698412698
37178,43,18,3,2,cell,96%,29,39,7,8,44,-5.099019514,39.01281841,B,False,True,14.061234033060277
37180,43,19,3,1,cell,96%,29,29,10,10,79,5.099019514,29.01723626,A,True,False,2.5409741257533778
37181,43,19,3,2,cell,95%,29,40,9,10,71,-6.08276253,40.01249805,B,False,True,12.041594578792294
37183,43,20,3,1,cell,96%,28,28,9,9,64,6.32455532,28.0713377,A,True,False,3.312947739588285
37184,43,20,3,2,cell,97%,29,40,9,10,71,-6.08276253,40.01249805,B,False,True,12.012658227848101
37186,43,21,2,1,cell,91%,28,30,9,8,57,4.472135955,30.06659276,A,True,False,3.09375
37187,43,21,2,2,cell,96%,30,20,9,9,64,14.0,20.0,A,False,True,8.246211251235321
37188,43,22,4,1,cell,96%,29,28,9,7,50,6.08276253,28.01785145,A,True,False,3.4641381529383866
37189,43,22,4,2,cell,96%,31,20,10,8,63,14.03566885,20.02498439,A,False,True,11.49293808785792
37192,43,23,4,1,cell,97%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,2.399999999999999
37194,43,23,4,3,cell,96%,32,20,8,9,57,14.14213562,20.09975124,A,False,True,9.944003745317529
37196,43,24,2,1,cell,96%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,0.0
37197,43,24,2,2,cell,96%,29,39,7,8,44,-5.099019514,39.01281841,B,False,True,12.280701754385966
37198,43,25,2,1,cell,96%,29,28,10,8,63,6.08276253,28.01785145,A,True,False,2.0526315789473695
37199,43,25,2,2,cell,96%,30,39,8,8,51,-5.0,39.0,B,False,True,11.102507200068258
37200,43,26,2,1,cell,96%,29,28,11,10,87,6.08276253,28.01785145,A,True,False,3.8095238095238093
37201,43,26,2,2,cell,96%,29,39,9,10,71,-5.099019514,39.01281841,B,False,True,12.269841269841269
37202,43,27,2,1,cell,96%,30,28,10,10,79,6.0,28.0,A,True,False,1.9195402298850575
37203,43,27,2,2,cell,96%,29,40,8,10,63,-6.08276253,40.01249805,B,False,True,14.758620689655173
37204,43,28,1,1,cell,95%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,5.020878104082069
37205,43,29,2,1,cell,96%,28,28,9,7,50,6.32455532,28.0713377,A,True,False,3.4641381529383866
37206,43,29,2,2,cell,94%,29,37,5,6,24,-3.16227766,37.01351105,B,False,True,12.789473684210527
37207,43,30,2,1,cell,96%,28,28,9,7,50,6.32455532,28.0713377,A,True,False,0.0
