,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,is_mother_cell,is_daughter_cell,last_mother_cost
7888,9,1,3,1,cell,91%,25,20,6,7,33,14.86606875,20.61552813,A,False,True,14.838945656561476
7889,9,1,3,2,cell,97%,28,29,10,9,71,5.385164807,29.06888371,A,True,False,0.0
7891,9,2,3,1,cell,91%,25,20,7,9,50,14.86606875,20.61552813,A,False,True,12.444579459378378
7892,9,2,3,2,cell,97%,28,29,10,9,71,5.385164807,29.06888371,A,True,False,0.0
7894,9,3,3,1,cell,93%,26,20,7,8,44,14.56021978,20.39607805,A,False,True,13.022361358701339
7895,9,3,3,2,cell,96%,29,29,10,10,79,5.099019514,29.01723626,A,True,False,2.1267605633802824
7897,9,4,3,1,cell,95%,25,20,7,8,44,14.86606875,20.61552813,A,False,True,14.279237548631547
7898,9,4,3,2,cell,97%,28,29,10,9,71,5.385164807,29.06888371,A,True,False,2.0126582278481013
7900,9,5,3,1,cell,95%,24,20,7,8,44,15.23154621,20.88061302,A,False,True,13.651674703204556
7901,9,5,3,2,cell,97%,28,31,9,10,71,3.605551275,31.06444913,A,True,False,2.0
7903,9,6,3,1,cell,54%,26,21,6,8,38,13.60147051,21.37755833,A,False,True,14.845926351129233
7904,9,6,3,2,cell,96%,28,29,9,9,64,5.385164807,29.06888371,A,True,False,2.985915492957746
7906,9,7,2,1,cell,97%,29,30,10,11,87,4.123105626,30.01666204,A,True,False,5.007963562373095
7907,9,7,2,2,cell,95%,31,18,7,9,50,16.03121954,18.02775638,A,False,True,13.58925425099138
7909,9,8,3,2,cell,97%,28,30,10,9,71,4.472135955,30.06659276,A,True,False,2.839080459770115
7910,9,8,3,3,cell,95%,32,17,8,9,57,17.11724277,17.11724277,A,False,True,16.7899399261953
7912,9,9,3,2,cell,95%,28,29,10,9,71,5.385164807,29.06888371,A,True,False,1.0
7913,9,9,3,3,cell,95%,32,16,8,9,57,18.11077028,16.1245155,A,False,True,16.53205076447653
7914,9,10,3,1,cell,95%,25,18,7,8,44,16.76305461,18.68154169,A,False,True,15.20457115239983
7915,9,10,3,2,cell,97%,28,29,9,11,78,5.385164807,29.06888371,A,True,False,0.9859154929577474
7917,9,11,4,1,cell,96%,25,18,8,8,51,16.76305461,18.68154169,A,False,True,14.86329271252984
7918,9,11,4,2,cell,95%,28,29,10,11,87,5.385164807,29.06888371,A,True,False,1.1538461538461542
7921,9,12,2,1,cell,97%,26,18,9,9,64,16.4924225,18.43908891,A,False,True,13.824018048418488
7922,9,12,2,2,cell,97%,29,29,10,11,87,5.099019514,29.01723626,A,True,False,1.0
7923,9,13,3,1,cell,96%,25,18,8,9,57,16.76305461,18.68154169,A,False,True,15.152975772788592
7924,9,13,3,2,cell,97%,28,30,10,10,79,4.472135955,30.06659276,A,True,False,2.3337537922581526
7926,9,14,3,1,cell,95%,24,17,7,9,50,18.02775638,18.02775638,A,False,True,17.27235658468481
7927,9,14,3,2,cell,97%,28,29,10,9,71,5.385164807,29.06888371,A,True,False,2.0126582278481013
7929,9,15,3,1,cell,93%,24,17,7,9,50,18.02775638,18.02775638,A,False,True,15.606857119546758
7930,9,15,3,2,cell,96%,29,31,10,10,79,3.16227766,31.01612484,A,True,False,3.362828540880072
7932,9,16,3,1,cell,93%,24,17,7,9,50,18.02775638,18.02775638,A,False,True,18.536954823267873
7933,9,16,3,2,cell,96%,29,30,10,10,79,4.123105626,30.01666204,A,True,False,1.0
7935,9,17,4,1,cell,92%,23,16,6,9,43,19.31320792,17.4642492,A,False,True,19.788508237044272
7936,9,17,4,2,cell,93%,28,29,10,10,79,5.385164807,29.06888371,A,True,False,1.4142135623730951
7939,9,18,4,1,cell,86%,23,15,8,8,51,20.24845673,16.55294536,A,False,True,18.41037254478686
7940,9,18,4,2,cell,90%,28,26,9,10,71,8.246211251,26.07680962,A,True,False,4.012658227848101
7943,9,19,3,1,cell,94%,23,15,9,8,57,20.24845673,16.55294536,A,False,True,14.054876959510063
7944,9,19,3,2,cell,97%,28,29,9,10,71,5.385164807,29.06888371,A,True,False,3.0
7947,9,20,3,2,cell,96%,29,29,10,10,79,5.099019514,29.01723626,A,True,False,2.1267605633802824
7950,9,21,5,2,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,1.0126582278481011
7953,9,21,5,5,cell,45%,32,20,5,7,28,14.14213562,20.09975124,A,False,True,15.942529183036783
7955,9,22,4,2,cell,71%,26,22,6,6,29,12.64911064,22.36067977,A,False,True,13.531266063610389
7956,9,22,4,3,cell,96%,29,30,9,9,64,4.123105626,30.01666204,A,True,False,1.9859154929577463
7958,9,23,2,1,cell,95%,25,18,9,8,57,16.76305461,18.68154169,A,False,True,13.742860640673518
7959,9,23,2,2,cell,97%,28,29,10,10,79,5.385164807,29.06888371,A,True,False,3.757963562373095
7960,9,24,2,1,cell,96%,25,18,9,8,57,16.76305461,18.68154169,A,False,True,14.186564377573658
7961,9,24,2,2,cell,97%,28,29,10,10,79,5.385164807,29.06888371,A,True,False,0.0
7962,9,25,2,1,cell,95%,27,18,10,11,87,16.2788206,18.24828759,A,False,True,12.058019245035364
7963,9,25,2,2,cell,97%,28,30,10,11,87,4.472135955,30.06659276,A,True,False,2.012658227848102
7964,9,26,2,1,cell,97%,28,29,11,12,104,5.385164807,29.06888371,A,True,False,2.954022988505748
7965,9,26,2,2,cell,97%,31,17,8,9,57,17.02938637,17.02938637,A,False,True,16.7899399261953
7966,9,27,2,1,cell,96%,29,30,10,11,87,4.123105626,30.01666204,A,True,False,3.0488289469884795
7967,9,27,2,2,cell,96%,31,17,8,9,57,17.02938637,17.02938637,A,False,True,16.88854764608375
7969,9,28,3,2,cell,96%,29,28,11,10,87,6.08276253,28.01785145,A,True,False,2.0
7970,9,28,3,3,cell,96%,33,16,10,9,71,18.24828759,16.2788206,A,False,True,16.399300238331154
7971,9,29,3,1,cell,95%,23,16,7,7,39,19.31320792,17.4642492,A,False,True,18.933649244309084
7972,9,29,3,2,cell,97%,26,26,9,10,71,8.94427191,26.30589288,A,True,False,5.444631735234104
7975,9,30,4,3,cell,86%,26,23,8,10,63,11.70469991,23.34523506,A,True,False,4.126760563380281
7976,9,30,4,4,cell,94%,28,10,11,11,96,24.08318916,10.19803903,A,False,True,19.64564225716048
7978,9,31,4,2,cell,96%,27,24,10,10,79,10.44030651,24.18677324,A,True,False,3.9538961020556345
7979,9,31,4,3,cell,95%,26,12,9,10,71,22.36067977,12.64911064,A,False,True,12.269841269841269
7981,9,32,3,1,cell,94%,24,17,9,8,57,18.02775638,18.02775638,A,False,True,10.400583232446188
7982,9,32,3,2,cell,97%,29,27,10,10,79,7.071067812,27.01851217,A,True,False,3.6055512754639896
7984,9,33,3,1,cell,94%,25,16,11,9,78,18.68154169,16.76305461,A,False,True,11.831282189200637
7985,9,33,3,2,cell,96%,28,26,11,10,87,8.246211251,26.07680962,A,True,False,2.426871790221197
7987,9,34,3,1,cell,95%,28,17,12,10,95,17.11724277,17.11724277,A,False,True,9.919540229885058
7988,9,34,3,2,cell,97%,28,27,11,10,87,7.280109889,27.07397274,A,True,False,1.0
7990,9,35,3,1,cell,90%,29,15,13,8,82,19.02629759,15.03329638,A,False,True,12.616307222470455
7991,9,35,3,2,cell,96%,29,26,10,10,79,8.062257748,26.01922366,A,True,False,2.3337537922581526
7994,9,36,5,3,cell,91%,29,24,10,10,79,10.04987562,24.0208243,A,True,False,2.0
7995,9,36,5,4,cell,88%,29,13,10,9,71,21.02379604,13.03840481,A,False,True,14.012658227848101
7998,9,37,5,2,cell,31%,27,14,11,9,78,20.22374842,14.31782106,A,False,True,10.324621305666582
7999,9,37,5,3,cell,93%,29,24,10,10,79,10.04987562,24.0208243,A,True,False,0.0
8003,9,38,4,2,cell,95%,29,25,10,10,79,9.055385138,25.01999201,A,True,False,1.0
8004,9,38,4,3,cell,94%,31,14,9,9,64,20.02498439,14.03566885,A,False,True,12.09677320440076
8007,9,39,4,2,cell,94%,29,26,10,10,79,8.062257748,26.01922366,A,True,False,1.0
8008,9,39,4,3,cell,94%,31,14,8,9,57,20.02498439,14.03566885,A,False,True,13.965150014081226
8010,9,40,4,1,cell,94%,26,12,9,9,64,22.36067977,12.64911064,A,False,True,16.21655524049154
8011,9,40,4,2,cell,94%,29,24,10,12,95,10.04987562,24.0208243,A,True,False,4.025316455696203
8014,9,41,5,2,cell,82%,29,11,11,10,87,23.02172887,11.04536102,A,False,True,13.842105263157896
8015,9,41,5,3,cell,75%,30,22,11,10,87,12.0,22.0,A,True,False,3.078173240657685
8019,9,42,4,3,cell,88%,32,8,13,8,82,26.07680962,8.246211251,A,False,True,14.716848267409112
8020,9,42,4,4,cell,88%,30,21,9,12,85,13.0,21.0,A,True,False,1.229885057471264
8022,9,43,4,3,cell,75%,31,17,12,12,114,17.02938637,17.02938637,A,True,False,7.534870331500013
8023,9,43,4,4,cell,77%,34,8,10,8,63,26.30589288,8.94427191,A,False,True,16.18970580285309
8025,9,44,6,3,cell,44%,31,7,12,9,85,27.01851217,7.071067812,A,False,True,12.543859649122808
8026,9,44,6,4,cell,51%,30,16,11,10,87,18.0,16.0,A,True,False,3.7826346150046737
8031,9,45,7,4,cell,36%,30,7,9,8,57,27.0,7.0,A,False,True,12.448275862068966
8032,9,45,7,5,cell,50%,31,17,10,10,79,17.02938637,17.02938637,A,True,False,2.3337537922581526
8037,9,46,7,4,cell,97%,28,21,11,10,87,13.15294644,21.09502311,A,True,False,6.012658227848102
8038,9,46,7,5,cell,91%,30,10,10,8,63,24.0,10.0,A,False,True,9.096384267561678
8043,9,47,7,4,cell,96%,30,20,10,10,79,14.0,20.0,A,True,False,3.155608207384847
8044,9,47,7,5,cell,75%,32,9,14,8,88,25.07987241,9.219544457,A,False,True,12.764053169409152
8049,9,48,7,4,cell,49%,31,18,9,9,64,16.03121954,18.02775638,A,True,False,4.13480215471498
8050,9,48,7,5,cell,89%,34,10,13,8,82,24.33105012,10.77032961,A,False,True,11.150076449712047
8055,9,49,7,4,cell,80%,32,14,11,11,96,20.09975124,14.14213562,A,True,False,9.123105625617661
8056,9,49,7,5,cell,71%,36,7,13,11,113,27.65863337,9.219544457,A,False,True,19.739295973594572
8061,9,50,4,3,cell,94%,29,25,11,11,96,9.055385138,25.01999201,A,False,True,11.40175425099138
8062,9,50,4,4,cell,95%,33,15,11,8,70,19.23538406,15.29705854,A,True,False,4.122546895706429
8066,9,51,5,4,cell,94%,29,25,11,10,87,9.055385138,25.01999201,A,False,True,13.198901042840438
8067,9,51,5,5,cell,96%,33,16,11,8,70,18.24828759,16.2788206,A,True,False,1.0
8070,9,52,4,3,cell,93%,30,25,10,10,79,9.0,25.0,A,False,True,10.772547266219423
8071,9,52,4,4,cell,96%,34,16,12,8,76,18.43908891,16.4924225,A,True,False,1.8571428571428563
8074,9,53,4,3,cell,94%,30,24,10,9,71,10.0,24.0,A,False,True,9.602166646841264
8075,9,53,4,4,cell,92%,35,14,10,8,63,20.61552813,14.86606875,A,True,False,3.9465942932892633
8078,9,54,4,3,cell,93%,29,25,10,10,79,9.055385138,25.01999201,A,False,True,15.069646625824207
8079,9,54,4,4,cell,93%,34,15,12,8,76,19.41648784,15.5241747,A,True,False,3.477705625865158
8081,9,55,3,2,cell,96%,28,26,11,11,96,8.246211251,26.07680962,A,False,True,15.161543033510089
8082,9,55,3,3,cell,92%,32,16,11,9,78,18.11077028,16.1245155,A,True,False,2.4992258722366327
8084,9,56,3,2,cell,96%,30,28,12,9,85,6.0,28.0,A,False,True,13.062960958032333
8085,9,56,3,3,cell,97%,32,17,8,8,51,17.11724277,17.11724277,A,True,False,4.461538461538462
8087,9,57,3,2,cell,96%,29,28,10,10,79,6.08276253,28.01785145,A,False,True,16.89195032942275
8088,9,57,3,3,cell,94%,32,16,8,8,51,18.11077028,16.1245155,A,True,False,1.0
8090,9,58,3,2,cell,96%,30,28,12,10,95,6.0,28.0,A,False,True,20.792976040988595
8091,9,58,3,3,cell,96%,33,17,9,8,57,17.2626765,17.2626765,A,True,False,2.5906841506083893
8094,9,59,4,3,cell,95%,29,25,11,11,96,9.055385138,25.01999201,A,False,True,15.786377173157053
8095,9,59,4,4,cell,95%,32,16,9,8,57,18.11077028,16.1245155,A,True,False,1.4142135623730951
8098,9,60,4,3,cell,96%,29,26,11,10,87,8.062257748,26.01922366,A,False,True,15.703464403647393
8099,9,60,4,4,cell,93%,33,16,9,8,57,18.24828759,16.2788206,A,True,False,1.0
8103,9,61,4,4,cell,88%,35,16,9,9,64,18.68154169,16.76305461,A,True,False,3.228070175438596
8107,9,62,4,4,cell,93%,36,15,10,9,71,19.92485885,16.15549442,A,True,False,2.507963562373095
8111,9,63,5,5,cell,82%,35,15,10,8,63,19.6468827,15.8113883,A,True,False,2.126760563380281
8116,9,64,7,6,cell,79%,39,13,9,7,50,22.84731932,15.8113883,A,True,False,6.535628018491644
8117,9,64,7,7,cell,74%,39,5,6,5,24,30.3644529,10.29563014,A,False,True,16.9608058047452
8121,9,65,5,4,cell,93%,37,14,10,8,63,21.1896201,15.65247584,A,True,False,4.8360679774997894
8122,9,65,5,5,cell,87%,37,6,9,7,50,28.86173938,9.219544457,A,False,True,7.280109889280519
8126,9,66,6,5,cell,94%,37,13,9,7,50,22.13594362,14.76482306,A,True,False,3.063492063492064
8127,9,66,6,6,cell,84%,42,6,9,8,57,30.46309242,13.41640786,A,False,True,10.386362084437556
8131,9,67,6,4,cell,93%,37,15,10,8,63,20.24845673,16.55294536,A,True,False,4.6
8132,9,67,6,5,cell,47%,36,4,9,9,64,30.59411708,7.211102551,A,False,True,11.855385138137418
8136,9,68,4,3,cell,94%,31,18,10,8,63,16.03121954,18.02775638,A,True,False,6.708203932499369
8137,9,68,4,4,cell,90%,33,9,9,8,57,25.17935662,9.486832981,A,False,True,8.163483503308932
8140,9,69,5,3,cell,65%,21,8,9,10,71,27.51363298,12.04159458,A,False,True,15.41197689357222
8141,9,69,5,4,cell,89%,26,14,13,9,92,20.39607805,14.56021978,A,True,False,11.006298840607451
8143,9,70,3,1,cell,95%,26,16,12,10,95,18.43908891,16.4924225,A,True,False,2.3260869565217384
8144,9,70,3,2,cell,97%,29,26,12,11,104,8.062257748,26.01922366,A,False,True,13.673664702939936
8146,9,71,3,1,cell,94%,25,15,11,9,78,19.6468827,15.8113883,A,True,False,3.2036872465836215
8147,9,71,3,2,cell,94%,29,24,10,9,71,10.04987562,24.0208243,A,False,True,11.070319534791214
8150,9,72,4,2,cell,92%,24,14,11,10,87,20.88061302,15.23154621,A,True,False,2.568059716219249
8151,9,72,4,3,cell,96%,29,23,10,11,87,11.04536102,23.02172887,A,False,True,10.098118063845313
8154,9,73,4,2,cell,91%,24,13,9,10,71,21.84032967,14.31782106,A,True,False,2.839080459770115
8158,9,74,4,2,cell,95%,20,13,10,11,87,23.2594067,16.40121947,A,True,False,6.253521126760562
8162,9,75,4,2,cell,95%,19,13,11,11,96,23.70653918,17.02938637,A,True,False,2.0344827586206895
8165,9,76,3,1,cell,96%,18,13,10,12,95,24.18677324,17.69180601,A,True,False,1.1041666666666663
8168,9,77,3,1,cell,95%,17,13,9,12,85,24.69817807,18.38477631,A,True,False,2.052631578947368
8171,9,78,3,1,cell,96%,23,11,10,12,95,24.04163056,13.03840481,A,True,False,7.501025908572053
8174,9,79,4,1,cell,83%,20,17,7,6,33,19.72308292,19.72308292,A,False,True,13.234519721973054
8175,9,79,4,2,cell,95%,24,9,9,12,85,25.70992026,10.81665383,A,True,False,3.288699556447158
8179,9,80,3,3,cell,95%,28,10,13,10,103,24.08318916,10.19803903,A,True,False,6.240752684441189
8182,9,81,5,4,cell,94%,27,10,13,10,103,24.18677324,10.44030651,A,True,False,1.0
8183,9,81,5,5,cell,81%,32,19,9,9,64,15.13274595,19.10497317,A,False,True,13.635265568786396
8185,9,82,4,3,cell,94%,27,9,12,11,104,25.17935662,9.486832981,A,True,False,1.0970873786407767
8189,9,83,5,4,cell,93%,26,9,11,11,96,25.3179778,9.848857802,A,True,False,1.7692307692307687
8192,9,84,5,3,cell,94%,25,10,11,12,104,24.51530134,11.18033989,A,True,False,2.247546895706428
8193,9,84,5,4,cell,25%,27,22,10,11,87,12.36931688,22.20360331,A,False,True,13.975904810405298
8196,9,85,4,2,cell,95%,27,6,12,13,123,28.16025568,6.708203932,A,True,False,6.299059031922656
8201,9,86,4,3,cell,92%,32,5,15,9,107,29.06888371,5.385164807,A,True,False,6.3998325217228675
8202,9,86,4,4,cell,92%,34,16,12,11,104,18.43908891,16.4924225,A,False,True,13.751271062888174
8207,9,87,6,5,cell,93%,33,5,16,8,101,29.15475947,5.830951895,A,True,False,1.560747663551402
8208,9,87,6,6,cell,94%,34,16,12,11,104,18.43908891,16.4924225,A,False,True,11.460713719274649
8212,9,88,5,4,cell,93%,34,5,15,9,107,29.27456234,6.403124237,A,True,False,1.5940594059405946
8213,9,88,5,5,cell,94%,33,16,11,10,87,18.24828759,16.2788206,A,False,True,12.386138613861386
8216,9,89,5,4,cell,95%,34,16,12,10,95,18.43908891,16.4924225,A,False,True,12.121495327102803
8217,9,89,5,5,cell,92%,37,6,11,10,87,28.86173938,9.219544457,A,True,False,5.031436538673052
8222,9,90,5,5,cell,95%,38,8,13,11,113,27.20294102,11.3137085,A,True,False,5.224573724626227
8227,9,91,6,6,cell,92%,41,5,13,11,113,31.01612484,12.08304597,A,True,False,4.242640687119286
8232,9,92,5,5,cell,92%,40,5,13,10,103,30.6757233,11.18033989,A,True,False,1.8849557522123896
8238,9,93,6,6,cell,94%,41,8,11,12,104,28.23118843,13.60147051,A,True,False,3.259365038809156
8244,9,94,6,6,cell,96%,41,9,10,12,95,27.31300057,14.2126704,A,True,False,1.8653846153846156
8250,9,95,6,6,cell,92%,41,7,12,11,104,29.15475947,13.03840481,A,True,False,2.9473684210526323
8256,9,96,6,6,cell,94%,43,7,13,11,113,29.96664813,14.76482306,A,True,False,2.8653846153846145
8257,9,97,2,1,cell,97%,29,29,9,10,71,5.099019514,29.01723626,A,False,True,29.79362378010263
8258,9,97,2,2,cell,88%,33,22,5,6,24,12.36931688,22.20360331,A,True,False,25.903862572010212
8259,9,98,2,1,cell,96%,28,29,9,10,71,5.385164807,29.06888371,A,False,True,28.185658600375962
8260,9,98,2,2,cell,96%,33,20,6,7,33,14.31782106,20.22374842,A,True,False,5.75
8261,9,99,2,1,cell,97%,29,29,9,11,78,5.099019514,29.01723626,A,False,True,23.48522143815974
8262,9,99,2,2,cell,95%,33,19,7,8,44,15.29705854,19.23538406,A,True,False,4.333333333333332
8263,9,100,2,1,cell,97%,27,30,9,11,78,5.0,30.14962686,A,False,True,20.257236813414394
8264,9,100,2,2,cell,94%,31,18,7,9,50,16.03121954,18.02775638,A,True,False,3.5997043411361545
8265,9,101,2,1,cell,97%,29,29,10,11,87,5.099019514,29.01723626,A,False,True,18.580339887498948
8266,9,101,2,2,cell,95%,32,18,7,10,55,16.1245155,18.11077028,A,True,False,2.000000000000001
8267,9,102,2,1,cell,96%,28,29,10,11,87,5.385164807,29.06888371,A,False,True,17.522881728901446
8268,9,102,2,2,cell,97%,32,18,8,10,63,16.1245155,18.11077028,A,True,False,1.454545454545455
8269,9,103,2,1,cell,96%,29,30,10,11,87,4.123105626,30.01666204,A,False,True,16.17884068637679
8270,9,103,2,2,cell,96%,32,17,9,11,78,17.11724277,17.11724277,A,True,False,3.3809523809523814
8271,9,104,2,1,cell,96%,28,29,10,12,95,5.385164807,29.06888371,A,False,True,14.828597820160697
8272,9,104,2,2,cell,96%,31,18,8,9,57,16.03121954,18.02775638,A,True,False,4.106521254680787
8273,9,105,2,1,cell,97%,28,30,10,11,87,4.472135955,30.06659276,A,False,True,17.632474771589823
8274,9,105,2,2,cell,95%,30,18,9,9,64,16.0,18.0,A,True,False,2.228070175438596
8276,9,106,3,2,cell,97%,27,30,9,11,78,5.0,30.14962686,A,False,True,14.55681687685298
8277,9,106,3,3,cell,96%,32,17,10,10,79,17.11724277,17.11724277,A,True,False,4.57981797749979
8279,9,107,3,2,cell,97%,27,30,9,11,78,5.0,30.14962686,A,False,True,14.05497055566513
8280,9,107,3,3,cell,96%,31,17,9,10,71,17.02938637,17.02938637,A,True,False,2.0126582278481013
8282,9,108,3,2,cell,97%,29,30,10,10,79,4.123105626,30.01666204,A,False,True,14.279707001346186
8283,9,108,3,3,cell,94%,33,15,8,11,70,19.23538406,15.29705854,A,True,False,2.9692721951687253
8286,9,109,3,3,cell,95%,32,14,8,11,70,20.09975124,14.14213562,A,True,False,1.4142135623730951
8288,9,110,3,2,cell,74%,28,29,9,10,71,5.385164807,29.06888371,A,False,True,15.667031839117167
8289,9,110,3,3,cell,95%,33,14,9,11,78,20.22374842,14.31782106,A,True,False,2.1428571428571432
8291,9,111,4,3,cell,62%,28,30,9,10,71,4.472135955,30.06659276,A,False,True,17.66049051167611
8292,9,111,4,4,cell,96%,32,15,9,11,78,19.10497317,15.13274595,A,True,False,1.4142135623730951
8294,9,112,3,3,cell,96%,32,15,9,11,78,19.10497317,15.13274595,A,True,False,0.0
8297,9,113,3,3,cell,96%,33,14,9,10,71,20.22374842,14.31782106,A,True,False,2.3116494598089927
8298,9,114,1,1,cell,97%,29,28,9,12,85,6.08276253,28.01785145,A,True,False,16.53205076447653
8299,9,115,2,1,cell,94%,25,19,6,7,33,15.8113883,19.6468827,A,False,True,15.966504860619633
8300,9,115,2,2,cell,96%,29,28,10,10,79,6.08276253,28.01785145,A,True,False,0.7058823529411762
8301,9,116,2,1,cell,96%,26,19,8,8,51,15.5241747,19.41648784,A,False,True,13.031136777973494
8302,9,116,2,2,cell,97%,29,28,10,10,79,6.08276253,28.01785145,A,True,False,0.0
8303,9,117,2,1,cell,96%,27,18,8,9,57,16.2788206,18.24828759,A,False,True,12.98284915376785
8304,9,117,2,2,cell,97%,30,29,10,12,95,5.0,29.0,A,True,False,3.4395300180692976
8305,9,118,2,1,cell,97%,26,18,9,9,64,16.4924225,18.43908891,A,False,True,14.967857805456468
8306,9,118,2,2,cell,97%,30,29,10,12,95,5.0,29.0,A,True,False,0.0
8307,9,119,2,1,cell,98%,27,17,10,10,79,17.2626765,17.2626765,A,False,True,14.05352740316877
8308,9,119,2,2,cell,96%,28,28,11,12,104,6.32455532,28.0713377,A,True,False,3.183436398552422
8309,9,120,2,1,cell,96%,26,17,10,10,79,17.4642492,17.4642492,A,False,True,13.584186041345102
8310,9,120,2,2,cell,96%,28,29,11,12,104,5.385164807,29.06888371,A,True,False,1.0
8311,9,121,2,1,cell,95%,25,16,9,10,71,18.68154169,16.76305461,A,False,True,16.514740987203258
8312,9,121,2,2,cell,97%,28,29,11,12,104,5.385164807,29.06888371,A,True,False,0.0
8313,9,122,2,1,cell,96%,25,16,9,10,71,18.68154169,16.76305461,A,False,True,16.514740987203258
8314,9,122,2,2,cell,96%,28,29,11,12,104,5.385164807,29.06888371,A,True,False,0.0
