,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,is_mother_cell,is_daughter_cell,last_mother_cost
9429,11,1,3,1,cell,95%,28,41,9,10,71,-7.280109889,41.0487515,B,False,True,12.09375
9430,11,1,3,2,cell,95%,28,30,9,9,64,4.472135955,30.06659276,A,True,False,0.0
9432,11,2,3,1,cell,95%,28,30,9,8,57,4.472135955,30.06659276,A,True,False,1.09375
9433,11,2,3,2,cell,95%,29,40,8,9,57,-6.08276253,40.01249805,B,False,True,11.14362562112089
9435,11,3,3,1,cell,64%,28,41,9,9,64,-7.280109889,41.0487515,B,False,True,12.228070175438596
9436,11,3,3,2,cell,96%,29,30,9,9,64,4.123105626,30.01666204,A,True,False,2.228070175438596
9438,11,4,3,1,cell,92%,29,30,10,9,71,4.123105626,30.01666204,A,True,False,1.09375
9439,11,4,3,2,cell,74%,28,39,6,7,33,-5.385164807,39.05124838,B,False,True,13.899135138137417
9441,11,5,3,1,cell,92%,29,30,10,9,71,4.123105626,30.01666204,A,True,False,0.0
9442,11,5,3,2,cell,90%,28,40,7,7,39,-6.32455532,40.04996879,B,False,True,14.556917874642016
9444,11,6,3,1,cell,90%,28,42,9,8,57,-8.246211251,42.04759208,B,False,True,14.013425564707786
9445,11,6,3,2,cell,90%,28,31,9,10,71,3.605551275,31.06444913,A,True,False,1.4142135623730951
9447,11,7,3,1,cell,91%,29,31,9,10,71,3.16227766,31.01612484,A,True,False,1.0
9448,11,7,3,2,cell,93%,29,41,8,8,51,-7.071067812,41.01219331,B,False,True,12.866777029571594
9450,11,8,3,1,cell,95%,27,40,8,9,57,-6.708203932,40.11234224,B,False,True,11.191375443208381
9451,11,8,3,2,cell,93%,28,30,9,9,64,4.472135955,30.06659276,A,True,False,2.4001290553308414
9453,11,9,3,1,cell,90%,30,30,10,11,87,4.0,30.0,A,True,False,5.59375
9454,11,9,3,2,cell,94%,29,42,8,10,63,-8.062257748,42.01190308,B,False,True,12.197844578792294
9456,11,10,3,1,cell,47%,28,29,9,11,78,5.385164807,29.06888371,A,True,False,3.2705507361204793
9457,11,10,3,2,cell,82%,28,41,9,10,71,-7.280109889,41.0487515,B,False,True,13.019420347269062
9460,11,11,4,2,cell,89%,29,30,10,10,79,4.123105626,30.01666204,A,True,False,1.542418690578223
9461,11,11,4,3,cell,93%,30,41,8,9,57,-7.0,41.0,B,False,True,14.85783275290413
9464,11,12,5,3,cell,54%,29,30,8,10,63,4.123105626,30.01666204,A,True,False,2.0253164556962022
9465,11,12,5,4,cell,90%,30,42,8,10,63,-8.0,42.0,B,False,True,14.066911034488497
9468,11,13,4,2,cell,96%,28,31,9,8,57,3.605551275,31.06444913,A,True,False,2.3665945147540475
9469,11,13,4,3,cell,94%,28,38,7,7,39,-4.472135955,38.05259518,B,False,True,11.87178155782236
9472,11,14,4,2,cell,94%,27,40,9,8,57,-6.708203932,40.11234224,B,False,True,9.055385138137417
9473,11,14,4,3,cell,94%,28,31,8,8,51,3.605551275,31.06444913,A,True,False,1.0526315789473684
9475,11,15,2,1,cell,96%,29,39,8,9,57,-5.099019514,39.01281841,B,False,True,9.238728336533843
9476,11,15,2,2,cell,97%,30,29,8,8,51,5.0,29.0,A,True,False,2.8284271247461903
9477,11,16,2,1,cell,97%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,2.5906841506083893
9478,11,16,2,2,cell,96%,29,40,9,10,71,-6.08276253,40.01249805,B,False,True,14.966929644638242
9479,11,17,2,1,cell,96%,29,41,9,10,71,-7.071067812,41.01219331,B,False,True,13.456140350877194
9480,11,17,2,2,cell,97%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,0.0
9481,11,18,2,1,cell,95%,28,40,9,10,71,-6.32455532,40.04996879,B,False,True,12.506015971998083
9482,11,18,2,2,cell,96%,28,28,9,9,64,6.32455532,28.0713377,A,True,False,3.4641381529383857
9483,11,19,2,1,cell,96%,30,40,10,9,71,-6.0,40.0,B,False,True,13.259275060596437
9484,11,19,2,2,cell,97%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,2.507963562373095
9485,11,20,2,1,cell,96%,28,41,8,10,63,-7.280109889,41.0487515,B,False,True,13.094226157739664
9486,11,20,2,2,cell,96%,28,30,9,8,57,4.472135955,30.06659276,A,True,False,1.4142135623730951
9487,11,21,2,1,cell,95%,28,28,9,7,50,6.32455532,28.0713377,A,True,False,3.2280701754385968
9488,11,21,2,2,cell,95%,29,37,6,7,33,-3.16227766,37.01351105,B,False,True,11.281594127654948
9489,11,22,2,1,cell,96%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,3.636067977499789
9490,11,22,2,2,cell,97%,29,38,8,7,44,-4.123105626,38.01315562,B,False,True,11.24987562112089
9491,11,23,2,1,cell,96%,29,39,8,8,51,-5.099019514,39.01281841,B,False,True,10.052631578947368
9492,11,23,2,2,cell,96%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,0.0
9493,11,24,2,1,cell,97%,29,30,9,8,57,4.123105626,30.01666204,A,True,False,0.0
9494,11,24,2,2,cell,97%,29,40,8,8,51,-6.08276253,40.01249805,B,False,True,11.052631578947368
9495,11,25,2,1,cell,95%,28,30,9,8,57,4.472135955,30.06659276,A,True,False,1.0
9496,11,25,2,2,cell,96%,28,40,9,9,64,-6.32455532,40.04996879,B,False,True,11.277945796559486
9498,11,26,3,2,cell,96%,28,39,9,9,64,-5.385164807,39.05124838,B,False,True,10.228070175438596
9499,11,26,3,3,cell,96%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,1.4142135623730951
9501,11,27,3,2,cell,96%,28,29,9,9,64,5.385164807,29.06888371,A,True,False,2.228070175438596
9502,11,27,3,3,cell,95%,29,40,9,8,57,-6.08276253,40.01249805,B,False,True,11.0
9504,11,28,3,2,cell,96%,30,28,10,8,63,6.0,28.0,A,True,False,2.39231797749979
9505,11,28,3,3,cell,94%,30,36,6,7,33,-2.0,36.0,B,False,True,12.123859889280519
9507,11,29,3,2,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,True,False,2.6840548322143647
9508,11,29,3,3,cell,96%,30,38,8,7,44,-4.0,38.0,B,False,True,13.015873015873016
9510,11,30,3,2,cell,92%,28,30,9,10,71,4.472135955,30.06659276,A,True,False,1.4142135623730951
9511,11,30,3,3,cell,95%,29,39,8,8,51,-5.099019514,39.01281841,B,False,True,12.816901408450704
9513,11,31,4,2,cell,94%,28,40,9,9,64,-6.32455532,40.04996879,B,False,True,10.985915492957746
9514,11,31,4,3,cell,95%,28,30,9,9,64,4.472135955,30.06659276,A,True,False,0.9859154929577463
9516,11,32,2,1,cell,96%,29,39,9,9,64,-5.099019514,39.01281841,B,False,True,9.055385138137417
9517,11,32,2,2,cell,95%,29,29,9,9,64,5.099019514,29.01723626,A,True,False,1.4142135623730951
9518,11,33,2,1,cell,96%,29,40,9,10,71,-6.08276253,40.01249805,B,False,True,12.09375
9519,11,33,2,2,cell,95%,29,28,9,9,64,6.08276253,28.01785145,A,True,False,1.0
9520,11,34,2,1,cell,96%,28,41,9,10,71,-7.280109889,41.0487515,B,False,True,14.132154810405298
9521,11,34,2,2,cell,97%,28,30,9,9,64,4.472135955,30.06659276,A,True,False,2.23606797749979
9522,11,35,2,1,cell,96%,27,39,9,11,78,-5.830951895,39.11521443,B,False,True,11.242885138137417
9523,11,35,2,2,cell,96%,28,29,9,8,57,5.385164807,29.06888371,A,True,False,2.09375
9524,11,36,2,1,cell,97%,29,29,9,8,57,5.099019514,29.01723626,A,True,False,1.0
9525,11,36,2,2,cell,96%,30,37,6,7,33,-3.0,37.0,B,False,True,12.456737567024796
9526,11,37,2,1,cell,96%,29,28,9,9,64,6.08276253,28.01785145,A,True,False,2.228070175438596
9527,11,37,2,2,cell,96%,29,38,7,8,44,-4.123105626,38.01315562,B,False,True,11.280701754385966
9528,11,38,2,1,cell,96%,29,28,10,9,71,6.08276253,28.01785145,A,True,False,1.09375
9529,11,38,2,2,cell,96%,29,39,8,9,57,-5.099019514,39.01281841,B,False,True,12.09375
9530,11,39,2,1,cell,95%,29,28,10,9,71,6.08276253,28.01785145,A,True,False,0.0
