,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,is_mother_cell,is_daughter_cell,last_mother_cost
24794,28,1,4,3,cell,96%,30,32,9,8,57,2.0,32.0,A,True,False,0.0
24795,28,1,4,4,cell,90%,32,21,8,10,63,13.15294644,21.09502311,A,False,True,12.232971466446317
24797,28,2,4,2,cell,95%,28,32,8,8,51,2.828427125,32.06243908,A,True,False,3.052631578947368
24798,28,2,4,3,cell,93%,30,19,7,10,55,15.0,19.0,A,False,True,13.350877192982455
24801,28,3,4,2,cell,96%,28,32,9,8,57,2.828427125,32.06243908,A,True,False,1.1764705882352944
24802,28,3,4,3,cell,94%,31,20,7,11,61,14.03566885,20.02498439,A,False,True,14.330101190578471
24804,28,4,3,1,cell,73%,26,21,9,10,71,13.60147051,21.37755833,A,False,True,13.63648023837614
24805,28,4,3,2,cell,96%,28,30,9,9,64,4.472135955,30.06659276,A,True,False,3.228070175438596
24807,28,5,3,1,cell,88%,25,22,6,6,29,13.0,22.56102835,A,False,True,14.01275374531753
24808,28,5,3,2,cell,97%,28,32,9,8,57,2.828427125,32.06243908,A,True,False,3.09375
24810,28,6,3,1,cell,68%,25,21,7,6,33,13.92838828,21.58703314,A,False,True,15.612280566780854
24811,28,6,3,2,cell,96%,28,30,9,8,57,4.472135955,30.06659276,A,True,False,2.0
24813,28,7,4,1,cell,90%,24,20,7,9,50,15.23154621,20.88061302,A,False,True,11.998399789707607
24815,28,7,4,3,cell,97%,28,30,10,9,71,4.472135955,30.06659276,A,True,False,2.456140350877194
24817,28,8,4,1,cell,94%,25,20,8,9,57,14.86606875,20.61552813,A,False,True,12.412137494826043
24819,28,8,4,3,cell,97%,29,30,10,8,63,4.123105626,30.01666204,A,True,False,2.126760563380281
24821,28,9,4,1,cell,92%,24,19,7,9,50,16.15549442,19.92485885,A,False,True,14.146538037086636
24823,28,9,4,3,cell,96%,29,30,10,9,71,4.123105626,30.01666204,A,True,False,1.2698412698412698
24825,28,10,3,1,cell,96%,27,31,7,8,44,4.242640687,31.144823,A,True,False,6.038884878908241
24826,28,10,3,2,cell,96%,30,19,9,10,71,15.0,19.0,A,False,True,11.045361017187261
24828,28,11,2,1,cell,95%,26,22,8,8,51,12.64911064,22.36067977,A,False,True,10.646294229046509
24829,28,11,2,2,cell,95%,28,31,9,9,64,3.605551275,31.06444913,A,True,False,5.545454545454546
24830,28,12,2,1,cell,95%,26,22,10,8,63,12.64911064,22.36067977,A,False,True,9.375794457292889
24831,28,12,2,2,cell,97%,29,32,10,9,71,2.236067977,32.01562119,A,True,False,2.507963562373095
24832,28,13,2,1,cell,95%,26,22,10,8,63,12.64911064,22.36067977,A,False,True,11.567067072290833
24833,28,13,2,2,cell,96%,28,32,9,9,64,2.828427125,32.06243908,A,True,False,1.9859154929577463
24834,28,14,2,1,cell,96%,27,20,10,9,71,14.31782106,20.22374842,A,False,True,13.135344578792294
24835,28,14,2,2,cell,95%,28,31,9,9,64,3.605551275,31.06444913,A,True,False,1.0
24836,28,15,2,1,cell,96%,26,21,9,8,57,13.60147051,21.37755833,A,False,True,11.29178902718557
24837,28,15,2,2,cell,96%,28,31,9,8,57,3.605551275,31.06444913,A,True,False,1.09375
24838,28,16,2,1,cell,96%,27,21,10,9,71,13.34166406,21.21320344,A,False,True,12.506015971998083
24839,28,16,2,2,cell,96%,28,31,9,8,57,3.605551275,31.06444913,A,True,False,0.0
24840,28,17,2,1,cell,96%,24,19,9,9,64,16.15549442,19.92485885,A,False,True,13.877180816112114
24841,28,17,2,2,cell,92%,29,28,9,10,71,6.08276253,28.01785145,A,True,False,5.6184180110455735
24842,28,18,3,1,cell,96%,27,21,10,9,71,13.34166406,21.21320344,A,False,True,7.280109889280519
24843,28,18,3,2,cell,96%,28,31,8,7,44,3.605551275,31.06444913,A,True,False,6.96509456157683
24845,28,19,3,1,cell,96%,26,21,9,9,64,13.60147051,21.37755833,A,False,True,14.743493572640116
24846,28,19,3,2,cell,93%,28,31,9,8,57,3.605551275,31.06444913,A,True,False,2.954545454545454
24848,28,20,3,1,cell,96%,26,19,10,9,71,15.5241747,19.41648784,A,False,True,14.62166541147363
24849,28,20,3,2,cell,96%,27,31,9,8,57,4.242640687,31.144823,A,True,False,1.0
24851,28,21,3,1,cell,94%,23,16,9,8,57,19.31320792,17.4642492,A,False,True,15.524174696260024
24853,28,21,3,3,cell,94%,28,31,8,8,51,3.605551275,31.06444913,A,True,False,2.052631578947368
24854,28,22,2,1,cell,95%,28,40,10,9,71,-6.32455532,40.04996879,B,False,True,12.92156862745098
24855,28,22,2,2,cell,96%,28,29,10,9,71,5.385164807,29.06888371,A,True,False,5.92156862745098
24856,28,23,2,1,cell,96%,27,42,9,8,57,-8.544003745,42.10700654,B,False,True,15.01023579632079
